priority_rank,sku,product_name,category,location,zone,latest_system_qty,latest_physical_qty,quantity_variance,absolute_quantity_variance,unit_cost,inventory_value,location_adjustment_exposure,variance_event_count,recurring_variance,count_records,recount_count,recount_rate,transaction_volume,location_recurrence_flag,control_tier,control_reason,count_action_flag,priority_score,recommended_count_frequency
18,SKU0284,Packaging 0284,Packaging,Z3-B03,Z3,496,496,0,0,94.80,47020.80,948.00,5,Y,13,10,83.33,197,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,64.52,Biweekly
19,SKU0089,Shipping Supplies 0089,Shipping Supplies,Z2-B02,Z2,382,382,0,0,93.30,35640.60,933.00,5,Y,13,10,83.33,197,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,64.37,Biweekly
20,SKU0128,Maintenance Parts 0128,Maintenance Parts,Z3-B03,Z3,534,534,0,0,117.60,62798.40,940.80,4,Y,13,11,84.62,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,64.35,Biweekly
21,SKU0063,Safety Supplies 0063,Safety Supplies,Z3-B03,Z3,806,806,0,0,117.10,94382.60,936.80,4,Y,13,10,83.33,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,64.31,Biweekly
22,SKU0128,Maintenance Parts 0128,Maintenance Parts,Z2-B02,Z2,733,733,0,0,117.60,86200.80,940.80,4,Y,13,10,83.33,193,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,64.25,Biweekly
23,SKU0289,Shipping Supplies 0289,Shipping Supplies,Z2-B02,Z2,74,74,0,0,113.30,8384.20,906.40,4,Y,13,10,83.33,197,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,64.10,Biweekly
24,SKU0224,Packaging 0224,Packaging,Z3-B03,Z3,116,116,0,0,112.80,13084.80,902.40,4,Y,13,11,84.62,197,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,64.06,Biweekly
25,SKU0283,Safety Supplies 0283,Safety Supplies,Z3-B03,Z3,645,647,-2,2,91.10,58941.70,911.00,5,Y,13,10,83.33,193,Y,Critical,"Critical: recurring variance, large latest discrepancy, and repeated recounts in a recurring-variance location",Y,63.95,Weekly
26,SKU0159,Shipping Supplies 0159,Shipping Supplies,Z3-B03,Z3,406,406,0,0,112.30,45593.80,898.40,4,Y,13,10,83.33,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,63.92,Biweekly
27,SKU0288,Maintenance Parts 0288,Maintenance Parts,Z3-B03,Z3,113,113,0,0,109.60,12384.80,876.80,4,Y,13,10,83.33,198,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,63.85,Biweekly
28,SKU0288,Maintenance Parts 0288,Maintenance Parts,Z2-B02,Z2,126,126,0,0,109.60,13809.60,876.80,4,Y,13,11,91.67,197,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,63.80,Biweekly
29,SKU0029,Shipping Supplies 0029,Shipping Supplies,Z2-B02,Z2,168,168,0,0,111.30,18698.40,890.40,4,Y,13,11,91.67,193,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,63.74,Biweekly
30,SKU0093,Safety Supplies 0093,Safety Supplies,Z2-B02,Z2,72,72,0,0,108.10,7783.20,864.80,4,Y,13,11,84.62,198,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,63.73,Biweekly
31,SKU0028,Maintenance Parts 0028,Maintenance Parts,Z3-B03,Z3,148,148,0,0,107.60,15924.80,860.80,4,Y,13,10,83.33,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,63.54,Biweekly
32,SKU0154,Packaging 0154,Packaging,Z3-B03,Z3,859,857,2,2,93.80,80386.60,938.00,5,Y,13,10,83.33,179,Y,Critical,"Critical: recurring variance, large latest discrepancy, and repeated recounts in a recurring-variance location",Y,63.52,Weekly
33,SKU0249,Shipping Supplies 0249,Shipping Supplies,Z2-B02,Z2,489,489,0,0,85.30,41711.70,853.00,5,Y,13,10,83.33,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,63.46,Biweekly
34,SKU0223,Safety Supplies 0223,Safety Supplies,Z3-B03,Z3,278,278,0,0,109.10,30329.80,872.80,4,Y,13,10,83.33,190,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,63.41,Biweekly
35,SKU0194,Packaging 0194,Packaging,Z3-B03,Z3,422,422,0,0,121.80,51399.60,974.40,4,Y,13,10,83.33,169,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,63.39,Biweekly
36,SKU0189,Shipping Supplies 0189,Shipping Supplies,Z2-B02,Z2,292,292,0,0,103.30,30163.60,826.40,4,Y,13,11,84.62,197,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,63.29,Biweekly
37,SKU0259,Shipping Supplies 0259,Shipping Supplies,Z2-B02,Z2,922,922,0,0,122.30,112760.60,978.40,4,Y,13,10,83.33,164,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,63.18,Biweekly
38,SKU0059,Shipping Supplies 0059,Shipping Supplies,Z3-B03,Z3,426,426,0,0,102.30,43579.80,818.40,4,Y,13,10,83.33,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,63.11,Biweekly
39,SKU0258,Maintenance Parts 0258,Maintenance Parts,Z3-B03,Z3,915,915,0,0,118.60,108519.00,948.80,4,Y,13,11,84.62,168,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,63.08,Biweekly
40,SKU0253,Safety Supplies 0253,Safety Supplies,Z2-B02,Z2,252,252,0,0,100.10,25225.20,800.80,4,Y,13,10,83.33,196,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,62.98,Biweekly
41,SKU0007,Fasteners 0007,Fasteners,Z2-B02,Z2,0,0,0,0,428.50,0.00,1714.00,4,Y,13,10,83.33,10,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,62.91,Biweekly
42,SKU0124,Packaging 0124,Packaging,Z2-B02,Z2,375,375,0,0,102.80,38550.00,822.40,4,Y,13,10,83.33,190,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,62.90,Biweekly
43,SKU0063,Safety Supplies 0063,Safety Supplies,Z2-B02,Z2,959,959,0,0,117.10,112298.90,936.80,4,Y,13,11,91.67,166,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,62.85,Biweekly
44,SKU0194,Packaging 0194,Packaging,Z2-B02,Z2,1180,1180,0,0,121.80,143724.00,1218.00,5,Y,13,10,83.33,109,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,62.84,Biweekly
45,SKU0123,Safety Supplies 0123,Safety Supplies,Z3-B03,Z3,426,426,0,0,99.10,42216.60,792.80,4,Y,13,11,84.62,192,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,62.70,Biweekly
46,SKU0094,Packaging 0094,Packaging,Z3-B03,Z3,506,506,0,0,111.80,56570.80,894.40,4,Y,13,11,84.62,168,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,62.52,Biweekly
47,SKU0284,Packaging 0284,Packaging,Z2-B02,Z2,677,677,0,0,94.80,64179.60,758.40,4,Y,13,11,91.67,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,62.50,Biweekly
48,SKU0024,Packaging 0024,Packaging,Z3-B03,Z3,494,494,0,0,92.80,45843.20,742.40,4,Y,13,10,83.33,196,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,62.39,Biweekly
49,SKU0219,Shipping Supplies 0219,Shipping Supplies,Z3-B03,Z3,655,655,0,0,94.30,61766.50,754.40,4,Y,13,11,84.62,193,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,62.36,Biweekly
50,SKU0159,Shipping Supplies 0159,Shipping Supplies,Z2-B02,Z2,440,440,0,0,112.30,49412.00,898.40,4,Y,13,10,83.33,163,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,62.31,Biweekly
51,SKU0059,Shipping Supplies 0059,Shipping Supplies,Z2-B02,Z2,629,629,0,0,102.30,64346.70,818.40,4,Y,13,11,84.62,178,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,62.25,Biweekly
52,SKU0019,Shipping Supplies 0019,Shipping Supplies,Z3-B03,Z3,324,324,0,0,74.30,24073.20,743.00,5,Y,13,10,83.33,193,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,62.24,Biweekly
53,SKU0024,Packaging 0024,Packaging,Z2-B02,Z2,650,650,0,0,92.80,60320.00,742.40,4,Y,13,10,83.33,193,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,62.24,Biweekly
54,SKU0158,Maintenance Parts 0158,Maintenance Parts,Z3-B03,Z3,497,497,0,0,108.60,53974.20,868.80,4,Y,13,10,83.33,167,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,62.21,Biweekly
55,SKU0088,Maintenance Parts 0088,Maintenance Parts,Z3-B03,Z3,388,388,0,0,89.60,34764.80,716.80,4,Y,13,11,84.62,197,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,62.18,Biweekly
56,SKU0148,Maintenance Parts 0148,Maintenance Parts,Z3-B03,Z3,70,70,0,0,71.60,5012.00,716.00,5,Y,13,10,83.33,196,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,62.12,Biweekly
57,SKU0153,Safety Supplies 0153,Safety Supplies,Z2-B02,Z2,260,260,0,0,90.10,23426.00,720.80,4,Y,13,10,83.33,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,62.12,Biweekly
58,SKU0088,Maintenance Parts 0088,Maintenance Parts,Z2-B02,Z2,577,577,0,0,89.60,51699.20,716.80,4,Y,13,11,84.62,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,62.08,Biweekly
59,SKU0023,Safety Supplies 0023,Safety Supplies,Z3-B03,Z3,616,616,0,0,89.10,54885.60,712.80,4,Y,13,10,83.33,193,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,61.94,Biweekly
60,SKU0058,Maintenance Parts 0058,Maintenance Parts,Z3-B03,Z3,618,618,0,0,98.60,60934.80,788.80,4,Y,13,10,83.33,177,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,61.90,Biweekly
61,SKU0223,Safety Supplies 0223,Safety Supplies,Z2-B02,Z2,395,395,0,0,109.10,43094.50,872.80,4,Y,13,11,84.62,159,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,61.85,Biweekly
62,SKU0254,Packaging 0254,Packaging,Z3-B03,Z3,728,728,0,0,103.80,75566.40,830.40,4,Y,13,10,83.33,166,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,61.77,Biweekly
63,SKU0184,Packaging 0184,Packaging,Z3-B03,Z3,582,582,0,0,84.80,49353.60,678.40,4,Y,13,10,83.33,196,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,61.74,Biweekly
64,SKU0184,Packaging 0184,Packaging,Z2-B02,Z2,804,804,0,0,84.80,68179.20,678.40,4,Y,13,11,84.62,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,61.69,Biweekly
65,SKU0119,Shipping Supplies 0119,Shipping Supplies,Z3-B03,Z3,866,866,0,0,84.30,73003.80,674.40,4,Y,13,11,91.67,193,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,61.55,Biweekly
66,SKU0118,Maintenance Parts 0118,Maintenance Parts,Z3-B03,Z3,974,974,0,0,80.60,78504.40,806.00,5,Y,13,10,83.33,166,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,61.53,Biweekly
67,SKU0053,Safety Supplies 0053,Safety Supplies,Z2-B02,Z2,575,575,0,0,80.10,46057.50,640.80,4,Y,13,11,84.62,198,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,61.46,Biweekly
68,SKU0179,Shipping Supplies 0179,Shipping Supplies,Z3-B03,Z3,424,424,0,0,66.30,28111.20,663.00,5,Y,13,11,84.62,193,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,61.43,Biweekly
69,SKU0248,Maintenance Parts 0248,Maintenance Parts,Z3-B03,Z3,521,521,0,0,81.60,42513.60,652.80,4,Y,13,10,83.33,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,61.43,Biweekly
70,SKU0183,Safety Supplies 0183,Safety Supplies,Z3-B03,Z3,803,803,0,0,81.10,65123.30,648.80,4,Y,13,11,91.67,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,61.39,Biweekly
71,SKU0219,Shipping Supplies 0219,Shipping Supplies,Z2-B02,Z2,803,803,0,0,94.30,75722.90,754.40,4,Y,13,10,83.33,171,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,61.25,Biweekly
72,SKU0123,Safety Supplies 0123,Safety Supplies,Z2-B02,Z2,510,510,0,0,99.10,50541.00,792.80,4,Y,13,10,83.33,163,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,61.24,Biweekly
73,SKU0279,Shipping Supplies 0279,Shipping Supplies,Z2-B02,Z2,415,413,2,2,76.30,31511.90,763.00,5,Y,13,10,83.33,169,Y,Critical,"Critical: recurring variance, large latest discrepancy, and repeated recounts in a recurring-variance location",Y,61.24,Weekly
74,SKU0248,Maintenance Parts 0248,Maintenance Parts,Z2-B02,Z2,663,663,0,0,81.60,54100.80,652.80,4,Y,13,10,83.33,191,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,61.23,Biweekly
75,SKU0093,Safety Supplies 0093,Safety Supplies,Z3-B03,Z3,554,554,0,0,108.10,59887.40,1081.00,5,Y,13,10,83.33,103,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,61.15,Biweekly
76,SKU0084,Packaging 0084,Packaging,Z3-B03,Z3,142,142,0,0,74.80,10621.60,598.40,4,Y,13,10,83.33,198,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,61.03,Biweekly
77,SKU0032,Electrical Components 0032,Electrical Components,Z3-B03,Z3,359,359,0,0,122.40,43941.60,612.00,5,Y,13,11,84.62,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,61.01,Biweekly
78,SKU0023,Safety Supplies 0023,Safety Supplies,Z2-B02,Z2,684,684,0,0,89.10,60944.40,712.80,4,Y,13,10,83.33,174,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,60.98,Biweekly
79,SKU0149,Shipping Supplies 0149,Shipping Supplies,Z2-B02,Z2,73,73,0,0,75.30,5496.90,602.40,4,Y,13,10,83.33,196,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,60.97,Biweekly
80,SKU0084,Packaging 0084,Packaging,Z2-B02,Z2,175,175,0,0,74.80,13090.00,598.40,4,Y,13,11,91.67,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,60.87,Biweekly
81,SKU0083,Safety Supplies 0083,Safety Supplies,Z2-B02,Z2,323,323,0,0,71.10,22965.30,711.00,5,Y,13,10,83.33,171,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,60.81,Biweekly
82,SKU0279,Shipping Supplies 0279,Shipping Supplies,Z3-B03,Z3,331,331,0,0,76.30,25255.30,610.40,4,Y,13,10,83.33,191,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,60.80,Biweekly
83,SKU0283,Safety Supplies 0283,Safety Supplies,Z2-B02,Z2,632,632,0,0,91.10,57575.20,728.80,4,Y,13,10,83.33,166,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,60.74,Biweekly
84,SKU0213,Safety Supplies 0213,Safety Supplies,Z2-B02,Z2,19,19,0,0,72.10,1369.90,576.80,4,Y,13,10,83.33,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,60.66,Biweekly
85,SKU0218,Maintenance Parts 0218,Maintenance Parts,Z3-B03,Z3,708,708,0,0,90.60,64144.80,724.80,4,Y,13,10,83.33,165,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,60.65,Biweekly
86,SKU0253,Safety Supplies 0253,Safety Supplies,Z3-B03,Z3,700,700,0,0,100.10,70070.00,1001.00,5,Y,13,11,84.62,108,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,60.59,Biweekly
87,SKU0058,Maintenance Parts 0058,Maintenance Parts,Z2-B02,Z2,742,742,0,0,98.60,73161.20,986.00,5,Y,13,10,83.33,111,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,60.59,Biweekly
88,SKU0083,Safety Supplies 0083,Safety Supplies,Z3-B03,Z3,221,221,0,0,71.10,15713.10,568.80,4,Y,13,11,84.62,193,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,60.47,Biweekly
89,SKU0148,Maintenance Parts 0148,Maintenance Parts,Z2-B02,Z2,207,207,0,0,71.60,14821.20,572.80,4,Y,13,11,91.67,192,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,60.46,Biweekly
90,SKU0273,Safety Supplies 0273,Safety Supplies,Z2-B02,Z2,336,336,0,0,54.10,18177.60,541.00,5,Y,13,10,83.33,198,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,60.44,Biweekly
91,SKU0144,Packaging 0144,Packaging,Z2-B02,Z2,613,613,0,0,56.80,34818.40,568.00,5,Y,13,11,84.62,192,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,60.42,Biweekly
92,SKU0054,Packaging 0054,Packaging,Z3-B03,Z3,918,918,0,0,83.80,76928.40,670.40,4,Y,13,11,84.62,170,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,60.35,Biweekly
93,SKU0244,Packaging 0244,Packaging,Z3-B03,Z3,278,278,0,0,66.80,18570.40,534.40,4,Y,13,10,83.33,197,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,60.33,Biweekly
94,SKU0129,Shipping Supplies 0129,Shipping Supplies,Z3-B03,Z3,494,494,0,0,121.30,59922.20,970.40,4,Y,13,10,83.33,108,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,60.28,Biweekly
95,SKU0049,Shipping Supplies 0049,Shipping Supplies,Z2-B02,Z2,262,262,0,0,65.30,17108.60,522.40,4,Y,13,10,83.33,198,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,60.25,Biweekly
96,SKU0119,Shipping Supplies 0119,Shipping Supplies,Z2-B02,Z2,849,849,0,0,84.30,71570.70,674.40,4,Y,13,10,83.33,167,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,60.24,Biweekly
97,SKU0183,Safety Supplies 0183,Safety Supplies,Z2-B02,Z2,879,879,0,0,81.10,71286.90,648.80,4,Y,13,10,83.33,169,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,60.08,Biweekly
98,SKU0244,Packaging 0244,Packaging,Z2-B02,Z2,374,374,0,0,66.80,24983.20,534.40,4,Y,13,10,83.33,192,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,60.07,Biweekly
99,SKU0029,Shipping Supplies 0029,Shipping Supplies,Z3-B03,Z3,699,699,0,0,111.30,77798.70,890.40,4,Y,13,10,83.33,118,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,59.97,Biweekly
100,SKU0243,Safety Supplies 0243,Safety Supplies,Z2-B02,Z2,491,491,0,0,63.10,30982.10,631.00,5,Y,13,10,83.33,170,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,59.95,Biweekly
101,SKU0113,Safety Supplies 0113,Safety Supplies,Z2-B02,Z2,83,83,0,0,62.10,5154.30,496.80,4,Y,13,10,83.33,197,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,59.94,Biweekly
102,SKU0097,Fasteners 0097,Fasteners,Z2-B02,Z2,356,356,0,0,122.90,43752.40,491.60,4,Y,13,11,91.67,198,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,59.94,Biweekly
103,SKU0243,Safety Supplies 0243,Safety Supplies,Z3-B03,Z3,371,371,0,0,63.10,23410.10,504.80,4,Y,13,10,83.33,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,59.92,Biweekly
104,SKU0193,Safety Supplies 0193,Safety Supplies,Z3-B03,Z3,1185,1185,0,0,118.10,139948.50,944.80,4,Y,13,10,83.33,106,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,59.92,Biweekly
105,SKU0048,Maintenance Parts 0048,Maintenance Parts,Z3-B03,Z3,175,175,0,0,61.60,10780.00,492.80,4,Y,13,10,83.33,197,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,59.90,Biweekly
106,SKU0214,Packaging 0214,Packaging,Z3-B03,Z3,389,389,0,0,75.80,29486.20,606.40,4,Y,13,10,83.33,173,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,59.85,Biweekly
107,SKU0289,Shipping Supplies 0289,Shipping Supplies,Z3-B03,Z3,682,682,0,0,113.30,77270.60,906.40,4,Y,13,11,91.67,111,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,59.78,Biweekly
108,SKU0032,Electrical Components 0032,Electrical Components,Z2-B02,Z2,544,544,0,0,122.40,66585.60,489.60,4,Y,13,10,83.33,195,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,59.77,Biweekly
109,SKU0218,Maintenance Parts 0218,Maintenance Parts,Z2-B02,Z2,883,883,0,0,90.60,79999.80,906.00,5,Y,13,11,84.62,109,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,59.68,Biweekly
110,SKU0160,Material Handling 0160,Material Handling,Z3-B03,Z3,282,282,0,0,116.00,32712.00,464.00,4,Y,13,10,83.33,198,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,59.66,Biweekly
111,SKU0048,Maintenance Parts 0048,Maintenance Parts,Z2-B02,Z2,338,338,0,0,61.60,20820.80,492.80,4,Y,13,11,84.62,192,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,59.65,Biweekly
112,SKU0225,Tools 0225,Tools,Z2-B02,Z2,94,94,0,0,116.50,10951.00,466.00,4,Y,13,10,83.33,197,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,59.63,Biweekly
113,SKU0094,Packaging 0094,Packaging,Z2-B02,Z2,643,643,0,0,111.80,71887.40,894.40,4,Y,13,10,83.33,110,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,59.61,Biweekly
114,SKU0192,Electrical Components 0192,Electrical Components,Z3-B03,Z3,589,589,0,0,114.40,67381.60,457.60,4,Y,13,10,83.33,198,Y,High,High: recurring SKU/location variance with repeated recount or material adjustment exposure,Y,59.60,Biweekly
