expense_id,expense_date,expense_category,region,amount
EXP-0363,2024-07-01,Marketing,Midwest,2156.49
EXP-0364,2024-07-01,Software,Midwest,1718.04
EXP-0365,2024-07-01,Facilities,Midwest,2510.64
EXP-0366,2024-07-01,Payroll,South,23500.0
EXP-0367,2024-07-01,Freight,South,2742.36
EXP-0368,2024-07-01,Marketing,South,2079.52
EXP-0369,2024-07-01,Software,South,1701.36
EXP-0370,2024-07-01,Facilities,South,2533.09
EXP-0371,2024-07-01,Payroll,West,27000.0
EXP-0372,2024-07-01,Freight,West,2809.52
EXP-0373,2024-07-01,Marketing,West,2059.94
EXP-0374,2024-07-01,Software,West,1827.85
EXP-0375,2024-07-01,Facilities,West,2597.73
EXP-0376,2024-07-01,Payroll,Northeast,28500.0
EXP-0377,2024-07-01,Freight,Northeast,2720.77
EXP-0378,2024-07-01,Marketing,Northeast,2262.79
EXP-0379,2024-07-01,Software,Northeast,1546.79
EXP-0380,2024-07-01,Facilities,Northeast,2459.12
EXP-0381,2024-08-01,Payroll,Midwest,25375.0
EXP-0382,2024-08-01,Freight,Midwest,2771.95
EXP-0383,2024-08-01,Marketing,Midwest,2170.43
EXP-0384,2024-08-01,Software,Midwest,1743.32
EXP-0385,2024-08-01,Facilities,Midwest,2490.28
EXP-0386,2024-08-01,Payroll,South,23852.5
EXP-0387,2024-08-01,Freight,South,2408.31
EXP-0388,2024-08-01,Marketing,South,1819.71
EXP-0389,2024-08-01,Software,South,1675.67
EXP-0390,2024-08-01,Facilities,South,2323.05
EXP-0391,2024-08-01,Payroll,West,27405.0
EXP-0392,2024-08-01,Freight,West,2678.93
EXP-0393,2024-08-01,Marketing,West,1884.92
EXP-0394,2024-08-01,Software,West,1899.76
EXP-0395,2024-08-01,Facilities,West,2362.73
EXP-0396,2024-08-01,Payroll,Northeast,28927.5
EXP-0397,2024-08-01,Freight,Northeast,3093.74
EXP-0398,2024-08-01,Marketing,Northeast,2036.71
EXP-0399,2024-08-01,Software,Northeast,1693.15
EXP-0400,2024-08-01,Facilities,Northeast,2307.81
EXP-0401,2024-09-01,Payroll,Midwest,25750.0
EXP-0402,2024-09-01,Freight,Midwest,2426.92
EXP-0403,2024-09-01,Marketing,Midwest,1936.57
EXP-0404,2024-09-01,Software,Midwest,1696.77
EXP-0405,2024-09-01,Facilities,Midwest,2055.09
EXP-0406,2024-09-01,Payroll,South,24205.0
EXP-0407,2024-09-01,Freight,South,2803.13
EXP-0408,2024-09-01,Marketing,South,1690.33
EXP-0409,2024-09-01,Software,South,1646.73
EXP-0410,2024-09-01,Facilities,South,2065.67
EXP-0411,2024-09-01,Payroll,West,27810.0
EXP-0412,2024-09-01,Freight,West,2192.43
EXP-0413,2024-09-01,Marketing,West,2060.67
EXP-0414,2024-09-01,Software,West,1596.39
EXP-0415,2024-09-01,Facilities,West,2210.55
EXP-0416,2024-09-01,Payroll,Northeast,29355.0
EXP-0417,2024-09-01,Freight,Northeast,2682.07
EXP-0418,2024-09-01,Marketing,Northeast,1942.95
EXP-0419,2024-09-01,Software,Northeast,1654.05
EXP-0420,2024-09-01,Facilities,Northeast,2417.27
EXP-0421,2024-10-01,Payroll,Midwest,26125.0
EXP-0422,2024-10-01,Freight,Midwest,2883.53
EXP-0423,2024-10-01,Marketing,Midwest,1884.87
EXP-0424,2024-10-01,Software,Midwest,1414.74
EXP-0425,2024-10-01,Facilities,Midwest,2058.22
EXP-0426,2024-10-01,Payroll,South,24557.5
EXP-0427,2024-10-01,Freight,South,2861.77
EXP-0428,2024-10-01,Marketing,South,2016.71
EXP-0429,2024-10-01,Software,South,1717.79
EXP-0430,2024-10-01,Facilities,South,2290.32
EXP-0431,2024-10-01,Payroll,West,28215.0
EXP-0432,2024-10-01,Freight,West,2490.45
EXP-0433,2024-10-01,Marketing,West,1871.21
EXP-0434,2024-10-01,Software,West,1788.19
EXP-0435,2024-10-01,Facilities,West,2085.52
EXP-0436,2024-10-01,Payroll,Northeast,29782.5
EXP-0437,2024-10-01,Freight,Northeast,2405.7
EXP-0438,2024-10-01,Marketing,Northeast,2062.35
EXP-0439,2024-10-01,Software,Northeast,1710.52
EXP-0440,2024-10-01,Facilities,Northeast,2245.28
EXP-0441,2024-11-01,Payroll,Midwest,26500.0
EXP-0442,2024-11-01,Freight,Midwest,2299.34
EXP-0443,2024-11-01,Marketing,Midwest,2027.61
EXP-0444,2024-11-01,Software,Midwest,1634.18
EXP-0445,2024-11-01,Facilities,Midwest,2599.9
EXP-0446,2024-11-01,Payroll,South,24910.0
EXP-0447,2024-11-01,Freight,South,2845.97
EXP-0448,2024-11-01,Marketing,South,2209.18
EXP-0449,2024-11-01,Software,South,1412.29
EXP-0450,2024-11-01,Facilities,South,2075.17
EXP-0451,2024-11-01,Payroll,West,28620.0
EXP-0452,2024-11-01,Freight,West,2762.21
EXP-0453,2024-11-01,Marketing,West,2196.49
EXP-0454,2024-11-01,Software,West,1618.21
EXP-0455,2024-11-01,Facilities,West,2320.73
EXP-0456,2024-11-01,Payroll,Northeast,30210.0
EXP-0457,2024-11-01,Freight,Northeast,2432.56
EXP-0458,2024-11-01,Marketing,Northeast,2212.33
EXP-0459,2024-11-01,Software,Northeast,1788.5
EXP-0460,2024-11-01,Facilities,Northeast,2109.18
EXP-0461,2024-12-01,Payroll,Midwest,26875.0
EXP-0462,2024-12-01,Freight,Midwest,2837.79
EXP-0463,2024-12-01,Marketing,Midwest,1865.35
EXP-0464,2024-12-01,Software,Midwest,1602.47
EXP-0465,2024-12-01,Facilities,Midwest,2483.07
EXP-0466,2024-12-01,Payroll,South,25262.5
EXP-0467,2024-12-01,Freight,South,2398.46
EXP-0468,2024-12-01,Marketing,South,2222.9
EXP-0469,2024-12-01,Software,South,1546.7
EXP-0470,2024-12-01,Facilities,South,2194.88
EXP-0471,2024-12-01,Payroll,West,29025.0
EXP-0472,2024-12-01,Freight,West,2634.47
EXP-0473,2024-12-01,Marketing,West,2167.48
EXP-0474,2024-12-01,Software,West,1598.44
EXP-0475,2024-12-01,Facilities,West,2609.16
EXP-0476,2024-12-01,Payroll,Northeast,30637.5
EXP-0477,2024-12-01,Freight,Northeast,2759.98
EXP-0478,2024-12-01,Marketing,Northeast,2223.32
EXP-0479,2024-12-01,Software,Northeast,1690.2
EXP-0480,2024-12-01,Facilities,Northeast,2635.04
EXP-0481,2025-01-01,Payroll,Midwest,25000.0
EXP-0482,2025-01-01,Freight,Midwest,2646.12
EXP-0483,2025-01-01,Marketing,Midwest,2334.73
EXP-0484,2025-01-01,Software,Midwest,1776.95
EXP-0485,2025-01-01,Facilities,Midwest,2139.41
EXP-0486,2025-01-01,Payroll,South,23500.0
EXP-0487,2025-01-01,Freight,South,2739.48
EXP-0488,2025-01-01,Marketing,South,2261.29
EXP-0489,2025-01-01,Software,South,1875.72
EXP-0490,2025-01-01,Facilities,South,2331.85
EXP-0491,2025-01-01,Payroll,West,27000.0
EXP-0492,2025-01-01,Freight,West,2853.04
EXP-0493,2025-01-01,Marketing,West,1805.3
EXP-0494,2025-01-01,Software,West,1898.74
EXP-0495,2025-01-01,Facilities,West,2637.71
EXP-0496,2025-01-01,Payroll,Northeast,28500.0
EXP-0497,2025-01-01,Freight,Northeast,2740.37
EXP-0498,2025-01-01,Marketing,Northeast,2302.94
EXP-0499,2025-01-01,Software,Northeast,1901.29
EXP-0500,2025-01-01,Facilities,Northeast,2300.93
EXP-0501,2025-02-01,Payroll,Midwest,25375.0
EXP-0502,2025-02-01,Freight,Midwest,2824.83
EXP-0503,2025-02-01,Marketing,Midwest,1671.16
EXP-0504,2025-02-01,Software,Midwest,1727.61
EXP-0505,2025-02-01,Facilities,Midwest,1869.3
EXP-0506,2025-02-01,Payroll,South,23852.5
EXP-0507,2025-02-01,Freight,South,2509.55
EXP-0508,2025-02-01,Marketing,South,1839.22
EXP-0509,2025-02-01,Software,South,1451.25
EXP-0510,2025-02-01,Facilities,South,1909.31
EXP-0511,2025-02-01,Payroll,West,27405.0
EXP-0512,2025-02-01,Freight,West,2186.98
EXP-0513,2025-02-01,Marketing,West,1703.4
EXP-0514,2025-02-01,Software,West,1560.71
EXP-0515,2025-02-01,Facilities,West,2448.86
EXP-0516,2025-02-01,Payroll,Northeast,28927.5
EXP-0517,2025-02-01,Freight,Northeast,2134.73
EXP-0518,2025-02-01,Marketing,Northeast,1756.41
EXP-0519,2025-02-01,Software,Northeast,1445.92
