order_id,order_date,region,channel,product,units,unit_price,unit_cost,payment_terms_days
ORD-0025,2023-05-18,South,Distributor,Industrial Sensor,125,256.2,168.9,45
ORD-0026,2023-05-10,Northeast,Distributor,Maintenance Kit,124,117.95,66.02,45
ORD-0027,2023-05-03,Northeast,Online,Maintenance Kit,47,152.91,76.21,30
ORD-0028,2023-05-17,Northeast,Direct,Power Supply,120,539.42,396.5,30
ORD-0029,2023-05-05,West,Distributor,Industrial Sensor,117,275.96,165.75,60
ORD-0030,2023-06-08,Northeast,Distributor,Power Supply,179,574.48,378.72,30
ORD-0031,2023-06-16,Midwest,Online,Maintenance Kit,174,152.11,69.4,15
ORD-0032,2023-06-03,West,Direct,Maintenance Kit,71,134.97,79.88,30
ORD-0033,2023-06-24,Northeast,Online,Industrial Sensor,46,229.39,171.42,45
ORD-0034,2023-06-06,Midwest,Direct,Industrial Sensor,32,231.25,164.24,15
ORD-0035,2023-06-17,South,Online,Industrial Sensor,78,240.76,149.99,30
ORD-0036,2023-06-18,Northeast,Distributor,Power Supply,20,587.0,349.89,60
ORD-0037,2023-07-18,South,Online,Power Supply,61,651.46,335.51,15
ORD-0038,2023-07-10,South,Online,Industrial Sensor,26,270.5,146.59,45
ORD-0039,2023-07-25,Northeast,Online,Power Supply,74,625.64,380.6,15
ORD-0040,2023-07-13,South,Distributor,Industrial Sensor,57,252.58,174.92,45
ORD-0041,2023-07-14,South,Direct,Control Panel,106,377.21,269.79,15
ORD-0042,2023-08-12,Northeast,Direct,Control Panel,25,478.64,238.45,45
ORD-0043,2023-08-16,Midwest,Direct,Power Supply,111,652.71,363.26,60
ORD-0044,2023-08-04,South,Direct,Power Supply,102,519.62,372.34,45
ORD-0045,2023-08-25,Midwest,Direct,Industrial Sensor,37,255.14,152.56,45
ORD-0046,2023-08-13,West,Direct,Control Panel,146,424.52,226.47,30
ORD-0047,2023-08-24,Northeast,Online,Industrial Sensor,104,258.05,153.89,45
ORD-0048,2023-09-11,Northeast,Direct,Maintenance Kit,104,130.42,70.08,15
ORD-0049,2023-09-12,West,Online,Power Supply,66,623.57,376.36,60
ORD-0050,2023-09-05,Midwest,Online,Maintenance Kit,67,120.29,71.91,60
ORD-0051,2023-09-17,Midwest,Direct,Maintenance Kit,135,127.13,80.81,15
ORD-0052,2023-09-07,West,Direct,Control Panel,179,429.27,248.51,30
ORD-0053,2023-09-07,Midwest,Distributor,Maintenance Kit,23,124.87,78.72,15
ORD-0054,2023-09-04,South,Online,Control Panel,180,385.84,224.06,60
ORD-0055,2023-10-22,Northeast,Online,Power Supply,119,537.02,406.83,30
ORD-0056,2023-10-03,Midwest,Online,Power Supply,84,616.43,322.3,30
ORD-0057,2023-10-11,Midwest,Direct,Industrial Sensor,52,231.18,147.0,30
ORD-0058,2023-10-03,Midwest,Direct,Maintenance Kit,168,118.06,85.44,30
ORD-0059,2023-10-10,South,Distributor,Industrial Sensor,178,240.05,140.23,15
ORD-0060,2023-11-05,Midwest,Online,Maintenance Kit,38,129.53,72.1,30
ORD-0061,2023-11-04,West,Online,Maintenance Kit,72,133.84,78.99,30
ORD-0062,2023-11-09,South,Direct,Maintenance Kit,118,150.68,67.37,60
ORD-0063,2023-11-24,West,Distributor,Maintenance Kit,135,146.28,71.26,60
ORD-0064,2023-11-04,Midwest,Direct,Power Supply,92,550.91,405.67,15
ORD-0065,2023-11-06,Midwest,Online,Maintenance Kit,43,132.39,70.91,15
ORD-0066,2023-12-14,Midwest,Distributor,Power Supply,84,623.08,384.48,45
ORD-0067,2023-12-20,Northeast,Distributor,Control Panel,130,413.89,247.89,30
ORD-0068,2023-12-22,West,Direct,Power Supply,31,510.94,367.02,45
ORD-0069,2023-12-23,Northeast,Direct,Power Supply,141,592.14,405.04,45
ORD-0070,2023-12-07,Midwest,Distributor,Maintenance Kit,111,128.53,70.03,60
ORD-0071,2023-12-17,Northeast,Online,Industrial Sensor,157,225.57,161.68,45
ORD-0072,2023-12-04,South,Distributor,Power Supply,170,514.94,322.7,30
ORD-0073,2024-01-08,South,Online,Industrial Sensor,168,263.89,140.2,45
ORD-0074,2024-01-26,Northeast,Direct,Maintenance Kit,148,144.91,74.84,30
ORD-0075,2024-01-09,West,Direct,Maintenance Kit,67,131.55,85.18,45
ORD-0076,2024-01-22,Northeast,Distributor,Maintenance Kit,20,127.08,78.21,15
ORD-0077,2024-01-07,West,Online,Industrial Sensor,26,237.49,140.58,45
ORD-0078,2024-02-13,South,Online,Power Supply,133,588.92,337.98,30
ORD-0079,2024-02-03,Northeast,Direct,Maintenance Kit,83,130.31,71.9,15
ORD-0080,2024-02-17,Northeast,Distributor,Control Panel,22,397.4,253.64,30
ORD-0081,2024-02-05,Midwest,Online,Power Supply,59,585.26,334.98,60
ORD-0082,2024-02-08,South,Direct,Industrial Sensor,145,278.9,170.34,60
ORD-0083,2024-02-16,Midwest,Direct,Maintenance Kit,29,146.45,80.18,30
ORD-0084,2024-03-25,Northeast,Distributor,Power Supply,48,631.09,380.45,45
ORD-0085,2024-03-03,South,Distributor,Maintenance Kit,59,129.97,72.16,30
ORD-0086,2024-03-07,Northeast,Online,Power Supply,139,513.9,385.69,15
ORD-0087,2024-03-16,West,Distributor,Control Panel,36,474.3,262.43,15
ORD-0088,2024-03-14,Midwest,Direct,Maintenance Kit,130,148.54,81.34,60
ORD-0089,2024-03-23,West,Direct,Maintenance Kit,31,120.06,83.66,30
ORD-0090,2024-03-24,Midwest,Online,Control Panel,160,439.69,226.47,15
ORD-0091,2024-04-06,South,Online,Power Supply,67,572.98,312.91,30
ORD-0092,2024-04-10,West,Online,Power Supply,102,652.05,403.39,60
ORD-0093,2024-04-16,West,Direct,Maintenance Kit,77,145.65,77.78,30
ORD-0094,2024-04-24,Midwest,Online,Control Panel,75,428.33,227.01,30
ORD-0095,2024-04-23,Midwest,Direct,Maintenance Kit,60,134.26,81.47,30
ORD-0096,2024-05-10,South,Distributor,Power Supply,177,537.56,316.79,60
ORD-0097,2024-05-24,West,Online,Control Panel,153,437.49,213.3,60
ORD-0098,2024-05-25,Northeast,Online,Maintenance Kit,123,123.85,72.7,45
ORD-0099,2024-05-26,West,Direct,Power Supply,146,619.71,376.95,60
ORD-0100,2024-05-14,Midwest,Online,Maintenance Kit,146,124.15,71.66,30
ORD-0101,2024-05-04,West,Direct,Maintenance Kit,59,130.71,77.76,45
ORD-0102,2024-06-14,West,Distributor,Industrial Sensor,124,294.4,166.54,30
ORD-0103,2024-06-24,Northeast,Distributor,Maintenance Kit,179,143.78,75.44,30
ORD-0104,2024-06-17,Midwest,Distributor,Maintenance Kit,106,122.82,76.79,60
ORD-0105,2024-06-15,Midwest,Direct,Industrial Sensor,51,291.69,153.86,30
ORD-0106,2024-06-02,Midwest,Direct,Control Panel,26,468.11,260.64,15
ORD-0107,2024-06-21,Midwest,Direct,Power Supply,143,591.23,398.65,15
ORD-0108,2024-06-11,South,Online,Control Panel,28,413.01,248.04,30
ORD-0109,2024-07-18,Midwest,Direct,Control Panel,69,424.51,265.94,15
ORD-0110,2024-07-10,Midwest,Direct,Power Supply,76,624.86,385.21,45
ORD-0111,2024-07-16,South,Distributor,Industrial Sensor,53,255.36,151.26,45
ORD-0112,2024-07-26,Midwest,Distributor,Industrial Sensor,71,257.94,166.74,60
ORD-0113,2024-07-23,Northeast,Distributor,Power Supply,63,620.18,358.76,45
ORD-0114,2024-08-15,West,Direct,Maintenance Kit,172,125.98,79.76,30
ORD-0115,2024-08-16,West,Online,Control Panel,127,386.61,246.63,30
ORD-0116,2024-08-24,Midwest,Online,Industrial Sensor,81,242.2,148.41,30
ORD-0117,2024-08-24,West,Distributor,Power Supply,111,548.34,366.36,30
ORD-0118,2024-08-07,South,Direct,Power Supply,46,526.28,389.32,15
ORD-0119,2024-08-15,Northeast,Direct,Industrial Sensor,142,285.79,174.15,30
ORD-0120,2024-09-09,Midwest,Direct,Maintenance Kit,159,143.85,69.2,60
ORD-0121,2024-09-19,Midwest,Online,Control Panel,91,482.06,214.12,30
ORD-0122,2024-09-03,Northeast,Distributor,Control Panel,100,470.55,211.73,60
ORD-0123,2024-09-04,Midwest,Direct,Maintenance Kit,29,137.04,77.4,60
ORD-0124,2024-09-19,South,Direct,Maintenance Kit,105,137.73,67.93,45
ORD-0125,2024-09-17,Northeast,Direct,Power Supply,148,531.11,383.85,30
ORD-0126,2024-09-23,Northeast,Online,Control Panel,116,477.94,240.98,45
ORD-0127,2024-10-15,West,Distributor,Control Panel,132,381.56,264.99,30
ORD-0128,2024-10-05,West,Distributor,Control Panel,156,464.5,228.54,30
ORD-0129,2024-10-26,Northeast,Online,Control Panel,102,443.92,227.77,30
ORD-0130,2024-10-17,Northeast,Distributor,Control Panel,173,477.65,229.77,45
ORD-0131,2024-10-15,West,Direct,Maintenance Kit,160,135.66,68.72,30
ORD-0132,2024-11-20,West,Distributor,Control Panel,91,435.63,231.95,30
ORD-0133,2024-11-08,West,Distributor,Maintenance Kit,97,152.07,71.38,15
ORD-0134,2024-11-18,Northeast,Direct,Industrial Sensor,116,271.35,172.61,60
ORD-0135,2024-11-26,West,Online,Control Panel,121,469.25,272.35,60
ORD-0136,2024-11-24,South,Distributor,Power Supply,66,596.48,324.18,60
ORD-0137,2024-11-22,South,Online,Power Supply,130,646.23,321.9,45
ORD-0138,2024-12-04,Northeast,Direct,Maintenance Kit,49,146.34,68.24,30
ORD-0139,2024-12-11,Northeast,Distributor,Power Supply,133,528.74,372.62,15
ORD-0140,2024-12-14,South,Distributor,Maintenance Kit,144,127.13,75.94,60
ORD-0141,2024-12-07,Midwest,Direct,Industrial Sensor,20,269.09,143.53,60
ORD-0142,2024-12-24,Midwest,Direct,Maintenance Kit,179,130.15,76.36,60
ORD-0143,2024-12-03,Northeast,Distributor,Maintenance Kit,127,135.61,82.15,45
ORD-0144,2024-12-16,West,Distributor,Industrial Sensor,44,244.32,162.04,30
ORD-0145,2025-01-04,West,Direct,Control Panel,100,371.3,217.9,30
ORD-0146,2025-01-09,South,Distributor,Power Supply,59,526.75,407.35,30
ORD-0147,2025-01-10,South,Online,Control Panel,24,448.53,253.84,60
ORD-0148,2025-01-20,Northeast,Direct,Control Panel,28,437.89,216.78,30
ORD-0149,2025-01-04,South,Online,Industrial Sensor,121,231.18,148.49,15
ORD-0150,2025-02-08,South,Distributor,Control Panel,156,415.65,252.77,60
ORD-0151,2025-02-15,Northeast,Direct,Industrial Sensor,129,236.68,138.4,30
ORD-0152,2025-02-21,Midwest,Online,Power Supply,40,656.46,393.68,60
ORD-0153,2025-02-06,Midwest,Online,Power Supply,53,607.33,321.7,60
ORD-0154,2025-02-12,South,Direct,Industrial Sensor,119,269.51,153.25,60
ORD-0155,2025-02-24,South,Distributor,Maintenance Kit,85,121.89,71.14,30
ORD-0156,2025-03-14,South,Direct,Industrial Sensor,90,228.26,163.67,15
ORD-0157,2025-03-08,Northeast,Direct,Power Supply,118,595.67,404.91,30
ORD-0158,2025-03-11,Northeast,Direct,Power Supply,143,514.06,346.0,30
ORD-0159,2025-03-04,West,Direct,Industrial Sensor,97,279.98,142.61,30
ORD-0160,2025-03-26,West,Direct,Power Supply,35,563.26,334.71,15
ORD-0161,2025-03-12,South,Online,Industrial Sensor,54,271.97,160.85,60
ORD-0162,2025-03-13,South,Direct,Power Supply,20,631.45,350.57,60
ORD-0163,2025-04-09,South,Direct,Industrial Sensor,139,279.97,140.65,30
ORD-0164,2025-04-08,Northeast,Distributor,Industrial Sensor,167,286.85,158.81,45
ORD-0165,2025-04-17,Midwest,Direct,Control Panel,137,465.73,249.3,15
ORD-0166,2025-04-07,Northeast,Direct,Maintenance Kit,26,131.05,77.66,30
ORD-0167,2025-04-11,Midwest,Direct,Maintenance Kit,173,128.65,83.05,45
ORD-0168,2025-05-20,Northeast,Direct,Control Panel,134,389.97,222.24,45
ORD-0169,2025-05-02,Northeast,Distributor,Maintenance Kit,28,130.06,83.86,60
ORD-0170,2025-05-24,Northeast,Direct,Power Supply,158,506.33,372.74,30
ORD-0171,2025-05-02,Midwest,Online,Industrial Sensor,29,290.67,170.97,30
ORD-0172,2025-05-23,Northeast,Online,Maintenance Kit,96,118.43,83.11,60
ORD-0173,2025-05-13,South,Distributor,Maintenance Kit,20,127.55,68.63,30
ORD-0174,2025-06-04,Northeast,Online,Industrial Sensor,42,273.27,161.7,60
ORD-0175,2025-06-03,Midwest,Distributor,Maintenance Kit,169,125.07,70.94,30
ORD-0176,2025-06-14,West,Direct,Industrial Sensor,67,280.82,155.68,60
ORD-0177,2025-06-07,Midwest,Online,Power Supply,58,615.09,322.73,60
ORD-0178,2025-06-14,South,Direct,Power Supply,73,588.67,328.27,15
ORD-0179,2025-06-11,Midwest,Distributor,Power Supply,136,508.36,358.77,45
ORD-0180,2025-06-07,South,Distributor,Power Supply,136,606.32,383.07,45
ORD-0181,2025-07-17,West,Distributor,Industrial Sensor,35,267.2,139.23,15
ORD-0182,2025-07-04,South,Online,Maintenance Kit,41,139.37,68.54,60
ORD-0183,2025-07-25,Northeast,Online,Power Supply,146,624.6,338.67,15
ORD-0184,2025-07-03,Midwest,Direct,Power Supply,31,602.6,361.27,15
ORD-0185,2025-07-12,Northeast,Online,Control Panel,159,434.57,229.82,60
ORD-0186,2025-08-02,Northeast,Direct,Power Supply,107,508.29,343.47,60
ORD-0187,2025-08-21,Midwest,Direct,Maintenance Kit,82,148.71,71.06,15
ORD-0188,2025-08-19,Northeast,Direct,Control Panel,52,394.25,263.71,30
ORD-0189,2025-08-19,Midwest,Online,Industrial Sensor,99,253.66,139.82,30
ORD-0190,2025-08-13,South,Direct,Maintenance Kit,109,123.22,83.1,60
ORD-0191,2025-08-15,West,Online,Power Supply,65,530.46,318.56,15
ORD-0192,2025-09-22,Northeast,Online,Maintenance Kit,29,151.98,68.95,30
ORD-0193,2025-09-07,Northeast,Direct,Maintenance Kit,149,149.28,75.42,30
ORD-0194,2025-09-04,South,Online,Maintenance Kit,112,123.26,79.75,30
ORD-0195,2025-09-24,Midwest,Distributor,Control Panel,138,447.22,248.5,15
ORD-0196,2025-09-08,Northeast,Online,Power Supply,119,507.7,360.71,30
ORD-0197,2025-09-19,Midwest,Distributor,Power Supply,165,512.09,318.39,30
ORD-0198,2025-09-19,Midwest,Direct,Maintenance Kit,123,137.47,77.63,60
ORD-0199,2025-10-24,South,Online,Maintenance Kit,85,131.28,75.6,15
ORD-0200,2025-10-24,South,Direct,Control Panel,47,439.89,212.94,60
ORD-0201,2025-10-12,Midwest,Direct,Industrial Sensor,140,263.26,169.25,45
ORD-0202,2025-10-11,Midwest,Distributor,Power Supply,106,660.75,385.95,15
ORD-0203,2025-10-14,West,Online,Control Panel,167,405.42,237.79,60
ORD-0204,2025-11-24,South,Direct,Industrial Sensor,71,241.48,177.08,60
ORD-0205,2025-11-02,Northeast,Direct,Maintenance Kit,46,147.67,84.41,60
ORD-0206,2025-11-23,Midwest,Distributor,Power Supply,128,517.79,399.05,30
ORD-0207,2025-11-15,West,Direct,Power Supply,53,619.66,363.26,30
ORD-0208,2025-11-20,West,Online,Power Supply,139,565.7,321.41,15
ORD-0209,2025-11-21,Midwest,Online,Industrial Sensor,76,259.9,159.73,45
ORD-0210,2025-12-25,Northeast,Direct,Maintenance Kit,79,144.87,73.04,45
ORD-0211,2025-12-22,Midwest,Distributor,Maintenance Kit,51,121.52,80.36,60
ORD-0212,2025-12-19,Northeast,Online,Power Supply,26,549.55,371.49,45
ORD-0213,2025-12-17,Midwest,Direct,Industrial Sensor,61,225.4,140.48,45
ORD-0214,2025-12-19,Northeast,Distributor,Power Supply,168,625.74,361.23,30
ORD-0215,2025-12-17,West,Online,Industrial Sensor,25,288.69,164.54,60
ORD-0216,2025-12-15,Northeast,Distributor,Power Supply,162,546.0,348.45,60
