snapshot_date,sku,location_id,opening_quantity,closing_quantity
2024-01-02,SKU017,DC03,33,28
2024-01-02,SKU017,DC04,48,43
2024-01-02,SKU018,DC01,46,46
2024-01-02,SKU018,DC02,92,91
2024-01-02,SKU018,DC03,27,26
2024-01-02,SKU018,DC04,74,74
2024-01-02,SKU019,DC01,81,80
2024-01-02,SKU019,DC02,35,33
2024-01-02,SKU019,DC03,29,28
2024-01-02,SKU019,DC04,44,42
2024-01-02,SKU020,DC01,68,67
2024-01-02,SKU020,DC02,31,30
2024-01-02,SKU020,DC03,94,92
2024-01-02,SKU020,DC04,40,111
2024-01-02,SKU021,DC01,90,89
2024-01-02,SKU021,DC02,101,100
2024-01-02,SKU021,DC03,74,72
2024-01-02,SKU021,DC04,85,83
2024-01-02,SKU022,DC01,105,103
2024-01-02,SKU022,DC02,48,44
2024-01-02,SKU022,DC03,22,19
2024-01-02,SKU022,DC04,36,34
2024-01-02,SKU023,DC01,91,88
2024-01-02,SKU023,DC02,49,47
2024-01-02,SKU023,DC03,99,97
2024-01-02,SKU023,DC04,52,50
2024-01-02,SKU024,DC01,107,104
2024-01-02,SKU024,DC02,78,75
2024-01-02,SKU024,DC03,82,79
2024-01-02,SKU024,DC04,73,71
2024-01-03,SKU001,DC01,42,41
2024-01-03,SKU001,DC02,84,83
2024-01-03,SKU001,DC03,79,78
2024-01-03,SKU001,DC04,99,98
2024-01-03,SKU002,DC01,85,85
2024-01-03,SKU002,DC02,73,73
2024-01-03,SKU002,DC03,71,70
2024-01-03,SKU002,DC04,26,25
2024-01-03,SKU003,DC01,67,66
2024-01-03,SKU003,DC02,24,22
2024-01-03,SKU003,DC03,91,89
2024-01-03,SKU003,DC04,96,94
2024-01-03,SKU004,DC01,70,68
2024-01-03,SKU004,DC02,70,68
2024-01-03,SKU004,DC03,32,28
2024-01-03,SKU004,DC04,93,90
2024-01-03,SKU005,DC01,102,99
2024-01-03,SKU005,DC02,68,64
2024-01-03,SKU005,DC03,78,75
2024-01-03,SKU005,DC04,90,88
2024-01-03,SKU006,DC01,103,100
2024-01-03,SKU006,DC02,56,54
2024-01-03,SKU006,DC03,104,100
2024-01-03,SKU006,DC04,94,90
2024-01-03,SKU007,DC01,71,67
2024-01-03,SKU007,DC02,44,40
2024-01-03,SKU007,DC03,58,55
2024-01-03,SKU007,DC04,99,97
2024-01-03,SKU008,DC01,73,70
2024-01-03,SKU008,DC02,24,21
2024-01-03,SKU008,DC03,91,88
2024-01-03,SKU008,DC04,36,32
2024-01-03,SKU009,DC01,52,52
2024-01-03,SKU009,DC02,50,48
2024-01-03,SKU009,DC03,32,31
2024-01-03,SKU009,DC04,38,36
2024-01-03,SKU010,DC01,28,27
2024-01-03,SKU010,DC02,30,30
2024-01-03,SKU010,DC03,34,33
2024-01-03,SKU010,DC04,25,24
2024-01-03,SKU011,DC01,58,56
2024-01-03,SKU011,DC02,39,37
2024-01-03,SKU011,DC03,35,34
2024-01-03,SKU011,DC04,106,104
2024-01-03,SKU012,DC01,92,91
2024-01-03,SKU012,DC02,59,57
2024-01-03,SKU012,DC03,64,62
2024-01-03,SKU012,DC04,89,87
2024-01-03,SKU013,DC01,33,31
2024-01-03,SKU013,DC02,54,53
2024-01-03,SKU013,DC03,88,87
2024-01-03,SKU013,DC04,95,93
2024-01-03,SKU014,DC01,31,29
2024-01-03,SKU014,DC02,56,54
2024-01-03,SKU014,DC03,72,69
2024-01-03,SKU014,DC04,100,98
2024-01-03,SKU015,DC01,89,87
2024-01-03,SKU015,DC02,88,86
2024-01-03,SKU015,DC03,75,73
2024-01-03,SKU015,DC04,38,36
2024-01-03,SKU016,DC01,84,82
2024-01-03,SKU016,DC02,54,51
2024-01-03,SKU016,DC03,29,27
2024-01-03,SKU016,DC04,53,50
2024-01-03,SKU017,DC01,59,55
2024-01-03,SKU017,DC02,46,42
2024-01-03,SKU017,DC03,28,23
2024-01-03,SKU017,DC04,43,38
2024-01-03,SKU018,DC01,46,45
2024-01-03,SKU018,DC02,91,91
2024-01-03,SKU018,DC03,26,25
2024-01-03,SKU018,DC04,74,74
2024-01-03,SKU019,DC01,80,79
2024-01-03,SKU019,DC02,33,32
2024-01-03,SKU019,DC03,28,26
2024-01-03,SKU019,DC04,42,41
2024-01-03,SKU020,DC01,67,66
2024-01-03,SKU020,DC02,30,29
2024-01-03,SKU020,DC03,92,90
2024-01-03,SKU020,DC04,111,110
2024-01-03,SKU021,DC01,89,87
2024-01-03,SKU021,DC02,100,97
2024-01-03,SKU021,DC03,72,70
2024-01-03,SKU021,DC04,83,81
2024-01-03,SKU022,DC01,103,99
2024-01-03,SKU022,DC02,44,41
2024-01-03,SKU022,DC03,19,16
2024-01-03,SKU022,DC04,34,30
2024-01-03,SKU023,DC01,88,86
2024-01-03,SKU023,DC02,47,45
2024-01-03,SKU023,DC03,97,95
2024-01-03,SKU023,DC04,50,47
2024-01-03,SKU024,DC01,104,101
2024-01-03,SKU024,DC02,75,73
2024-01-03,SKU024,DC03,79,76
2024-01-03,SKU024,DC04,71,68
2024-01-04,SKU001,DC01,41,40
2024-01-04,SKU001,DC02,83,83
2024-01-04,SKU001,DC03,78,78
2024-01-04,SKU001,DC04,98,98
2024-01-04,SKU002,DC01,85,83
2024-01-04,SKU002,DC02,73,73
2024-01-04,SKU002,DC03,70,68
2024-01-04,SKU002,DC04,25,24
2024-01-04,SKU003,DC01,66,65
2024-01-04,SKU003,DC02,22,20
2024-01-04,SKU003,DC03,89,86
2024-01-04,SKU003,DC04,94,92
2024-01-04,SKU004,DC01,68,66
2024-01-04,SKU004,DC02,68,66
2024-01-04,SKU004,DC03,28,25
2024-01-04,SKU004,DC04,90,87
2024-01-04,SKU005,DC01,99,96
2024-01-04,SKU005,DC02,64,61
2024-01-04,SKU005,DC03,75,72
2024-01-04,SKU005,DC04,88,83
2024-01-04,SKU006,DC01,100,96
2024-01-04,SKU006,DC02,54,72
2024-01-04,SKU006,DC03,100,97
2024-01-04,SKU006,DC04,90,88
2024-01-04,SKU007,DC01,67,64
2024-01-04,SKU007,DC02,40,36
2024-01-04,SKU007,DC03,55,52
2024-01-04,SKU007,DC04,97,94
2024-01-04,SKU008,DC01,70,66
2024-01-04,SKU008,DC02,21,18
2024-01-04,SKU008,DC03,88,84
2024-01-04,SKU008,DC04,32,29
2024-01-04,SKU009,DC01,52,50
2024-01-04,SKU009,DC02,48,47
2024-01-04,SKU009,DC03,31,30
2024-01-04,SKU009,DC04,36,36
2024-01-04,SKU010,DC01,27,26
2024-01-04,SKU010,DC02,30,28
2024-01-04,SKU010,DC03,33,61
2024-01-04,SKU010,DC04,24,23
2024-01-04,SKU011,DC01,56,56
2024-01-04,SKU011,DC02,37,35
2024-01-04,SKU011,DC03,34,33
2024-01-04,SKU011,DC04,104,104
2024-01-04,SKU012,DC01,91,89
2024-01-04,SKU012,DC02,57,55
2024-01-04,SKU012,DC03,62,61
2024-01-04,SKU012,DC04,87,85
2024-01-04,SKU013,DC01,31,28
2024-01-04,SKU013,DC02,53,51
2024-01-04,SKU013,DC03,87,85
2024-01-04,SKU013,DC04,93,90
2024-01-04,SKU014,DC01,29,27
2024-01-04,SKU014,DC02,54,51
2024-01-04,SKU014,DC03,69,67
2024-01-04,SKU014,DC04,98,97
2024-01-04,SKU015,DC01,87,84
2024-01-04,SKU015,DC02,86,83
2024-01-04,SKU015,DC03,73,70
2024-01-04,SKU015,DC04,36,33
2024-01-04,SKU016,DC01,82,80
2024-01-04,SKU016,DC02,51,48
2024-01-04,SKU016,DC03,27,24
2024-01-04,SKU016,DC04,50,46
2024-01-04,SKU017,DC01,55,48
2024-01-04,SKU017,DC02,42,38
2024-01-04,SKU017,DC03,23,19
2024-01-04,SKU017,DC04,38,33
2024-01-04,SKU018,DC01,45,43
2024-01-04,SKU018,DC02,91,90
2024-01-04,SKU018,DC03,25,24
2024-01-04,SKU018,DC04,74,74
2024-01-04,SKU019,DC01,79,78
2024-01-04,SKU019,DC02,32,31
2024-01-04,SKU019,DC03,26,25
2024-01-04,SKU019,DC04,41,39
2024-01-04,SKU020,DC01,66,64
2024-01-04,SKU020,DC02,29,28
2024-01-04,SKU020,DC03,90,89
2024-01-04,SKU020,DC04,110,109
2024-01-04,SKU021,DC01,87,85
2024-01-04,SKU021,DC02,97,95
2024-01-04,SKU021,DC03,70,68
2024-01-04,SKU021,DC04,81,79
2024-01-04,SKU022,DC01,99,97
2024-01-04,SKU022,DC02,41,37
2024-01-04,SKU022,DC03,16,11
2024-01-04,SKU022,DC04,30,26
2024-01-04,SKU023,DC01,86,85
2024-01-04,SKU023,DC02,45,43
2024-01-04,SKU023,DC03,95,93
2024-01-04,SKU023,DC04,47,104
2024-01-04,SKU024,DC01,101,99
2024-01-04,SKU024,DC02,73,71
2024-01-04,SKU024,DC03,76,73
2024-01-04,SKU024,DC04,68,65
2024-01-05,SKU001,DC01,40,38
2024-01-05,SKU001,DC02,83,81
2024-01-05,SKU001,DC03,78,77
2024-01-05,SKU001,DC04,98,96
2024-01-05,SKU002,DC01,83,82
2024-01-05,SKU002,DC02,73,72
2024-01-05,SKU002,DC03,68,66
2024-01-05,SKU002,DC04,24,22
2024-01-05,SKU003,DC01,65,63
2024-01-05,SKU003,DC02,20,18
2024-01-05,SKU003,DC03,86,84
2024-01-05,SKU003,DC04,92,90
2024-01-05,SKU004,DC01,66,64
2024-01-05,SKU004,DC02,66,64
2024-01-05,SKU004,DC03,25,23
2024-01-05,SKU004,DC04,87,86
2024-01-05,SKU005,DC01,96,93
2024-01-05,SKU005,DC02,61,58
2024-01-05,SKU005,DC03,72,69
2024-01-05,SKU005,DC04,83,79
2024-01-05,SKU006,DC01,96,93
2024-01-05,SKU006,DC02,72,71
2024-01-05,SKU006,DC03,97,118
2024-01-05,SKU006,DC04,88,85
2024-01-05,SKU007,DC01,64,62
2024-01-05,SKU007,DC02,36,34
2024-01-05,SKU007,DC03,52,49
2024-01-05,SKU007,DC04,94,90
2024-01-05,SKU008,DC01,66,63
2024-01-05,SKU008,DC02,18,16
2024-01-05,SKU008,DC03,84,80
2024-01-05,SKU008,DC04,29,27
2024-01-05,SKU009,DC01,50,49
2024-01-05,SKU009,DC02,47,45
2024-01-05,SKU009,DC03,30,30
2024-01-05,SKU009,DC04,36,36
2024-01-05,SKU010,DC01,26,25
2024-01-05,SKU010,DC02,28,27
2024-01-05,SKU010,DC03,61,60
2024-01-05,SKU010,DC04,23,23
2024-01-05,SKU011,DC01,56,54
2024-01-05,SKU011,DC02,35,34
2024-01-05,SKU011,DC03,33,31
2024-01-05,SKU011,DC04,104,104
2024-01-05,SKU012,DC01,89,87
2024-01-05,SKU012,DC02,55,54
2024-01-05,SKU012,DC03,61,60
2024-01-05,SKU012,DC04,85,84
2024-01-05,SKU013,DC01,28,27
2024-01-05,SKU013,DC02,51,49
2024-01-05,SKU013,DC03,85,85
2024-01-05,SKU013,DC04,90,88
2024-01-05,SKU014,DC01,27,25
2024-01-05,SKU014,DC02,51,50
2024-01-05,SKU014,DC03,67,65
2024-01-05,SKU014,DC04,97,94
2024-01-05,SKU015,DC01,84,81
2024-01-05,SKU015,DC02,83,81
2024-01-05,SKU015,DC03,70,67
2024-01-05,SKU015,DC04,33,31
2024-01-05,SKU016,DC01,80,77
2024-01-05,SKU016,DC02,48,46
2024-01-05,SKU016,DC03,24,22
2024-01-05,SKU016,DC04,46,43
2024-01-05,SKU017,DC01,48,44
2024-01-05,SKU017,DC02,38,33
2024-01-05,SKU017,DC03,19,15
2024-01-05,SKU017,DC04,33,81
2024-01-05,SKU018,DC01,43,42
2024-01-05,SKU018,DC02,90,89
2024-01-05,SKU018,DC03,24,23
2024-01-05,SKU018,DC04,74,74
2024-01-05,SKU019,DC01,78,77
2024-01-05,SKU019,DC02,31,30
2024-01-05,SKU019,DC03,25,24
2024-01-05,SKU019,DC04,39,38
2024-01-05,SKU020,DC01,64,63
2024-01-05,SKU020,DC02,28,27
2024-01-05,SKU020,DC03,89,89
2024-01-05,SKU020,DC04,109,106
2024-01-05,SKU021,DC01,85,82
2024-01-05,SKU021,DC02,95,93
2024-01-05,SKU021,DC03,68,65
2024-01-05,SKU021,DC04,79,77
2024-01-05,SKU022,DC01,97,94
2024-01-05,SKU022,DC02,37,33
2024-01-05,SKU022,DC03,11,8
2024-01-05,SKU022,DC04,26,23
2024-01-05,SKU023,DC01,85,82
2024-01-05,SKU023,DC02,43,41
2024-01-05,SKU023,DC03,93,89
2024-01-05,SKU023,DC04,104,103
2024-01-05,SKU024,DC01,99,96
2024-01-05,SKU024,DC02,71,68
2024-01-05,SKU024,DC03,73,71
2024-01-05,SKU024,DC04,65,62
2024-01-06,SKU001,DC01,38,37
2024-01-06,SKU001,DC02,81,81
2024-01-06,SKU001,DC03,77,77
2024-01-06,SKU001,DC04,96,94
2024-01-06,SKU002,DC01,82,80
2024-01-06,SKU002,DC02,72,71
2024-01-06,SKU002,DC03,66,64
2024-01-06,SKU002,DC04,22,21
2024-01-06,SKU003,DC01,63,61
2024-01-06,SKU003,DC02,18,16
2024-01-06,SKU003,DC03,84,151
2024-01-06,SKU003,DC04,90,89
2024-01-06,SKU004,DC01,64,63
2024-01-06,SKU004,DC02,64,62
2024-01-06,SKU004,DC03,23,21
2024-01-06,SKU004,DC04,86,85
2024-01-06,SKU005,DC01,93,90
2024-01-06,SKU005,DC02,58,55
2024-01-06,SKU005,DC03,69,65
2024-01-06,SKU005,DC04,79,75
2024-01-06,SKU006,DC01,93,90
2024-01-06,SKU006,DC02,71,68
2024-01-06,SKU006,DC03,118,115
2024-01-06,SKU006,DC04,85,82
2024-01-06,SKU007,DC01,62,59
2024-01-06,SKU007,DC02,34,31
2024-01-06,SKU007,DC03,49,45
2024-01-06,SKU007,DC04,90,87
2024-01-06,SKU008,DC01,63,59
2024-01-06,SKU008,DC02,16,13
2024-01-06,SKU008,DC03,80,77
2024-01-06,SKU008,DC04,27,23
2024-01-06,SKU009,DC01,49,48
2024-01-06,SKU009,DC02,45,44
2024-01-06,SKU009,DC03,30,29
2024-01-06,SKU009,DC04,36,35
2024-01-06,SKU010,DC01,25,24
2024-01-06,SKU010,DC02,27,27
2024-01-06,SKU010,DC03,60,58
2024-01-06,SKU010,DC04,23,22
2024-01-06,SKU011,DC01,54,53
2024-01-06,SKU011,DC02,34,33
2024-01-06,SKU011,DC03,31,30
2024-01-06,SKU011,DC04,104,102
2024-01-06,SKU012,DC01,87,85
2024-01-06,SKU012,DC02,54,52
2024-01-06,SKU012,DC03,60,58
2024-01-06,SKU012,DC04,84,81
2024-01-06,SKU013,DC01,27,25
2024-01-06,SKU013,DC02,49,48
2024-01-06,SKU013,DC03,85,84
2024-01-06,SKU013,DC04,88,85
2024-01-06,SKU014,DC01,25,23
2024-01-06,SKU014,DC02,50,46
2024-01-06,SKU014,DC03,65,62
2024-01-06,SKU014,DC04,94,92
2024-01-06,SKU015,DC01,81,78
2024-01-06,SKU015,DC02,81,79
2024-01-06,SKU015,DC03,67,64
2024-01-06,SKU015,DC04,31,29
2024-01-06,SKU016,DC01,77,74
2024-01-06,SKU016,DC02,46,43
2024-01-06,SKU016,DC03,22,19
2024-01-06,SKU016,DC04,43,39
2024-01-06,SKU017,DC01,44,39
2024-01-06,SKU017,DC02,33,28
2024-01-06,SKU017,DC03,15,9
2024-01-06,SKU017,DC04,81,76
2024-01-06,SKU018,DC01,42,41
2024-01-06,SKU018,DC02,89,87
2024-01-06,SKU018,DC03,23,22
2024-01-06,SKU018,DC04,74,74
2024-01-06,SKU019,DC01,77,76
2024-01-06,SKU019,DC02,30,28
2024-01-06,SKU019,DC03,24,24
2024-01-06,SKU019,DC04,38,36
2024-01-06,SKU020,DC01,63,62
2024-01-06,SKU020,DC02,27,27
2024-01-06,SKU020,DC03,89,88
2024-01-06,SKU020,DC04,106,104
2024-01-06,SKU021,DC01,82,80
2024-01-06,SKU021,DC02,93,91
2024-01-06,SKU021,DC03,65,63
2024-01-06,SKU021,DC04,77,76
2024-01-06,SKU022,DC01,94,91
2024-01-06,SKU022,DC02,33,29
2024-01-06,SKU022,DC03,8,6
2024-01-06,SKU022,DC04,23,20
2024-01-06,SKU023,DC01,82,80
2024-01-06,SKU023,DC02,41,39
2024-01-06,SKU023,DC03,89,86
2024-01-06,SKU023,DC04,103,101
2024-01-06,SKU024,DC01,96,93
2024-01-06,SKU024,DC02,68,66
2024-01-06,SKU024,DC03,71,69
2024-01-06,SKU024,DC04,62,59
2024-01-07,SKU001,DC01,37,37
2024-01-07,SKU001,DC02,81,80
2024-01-07,SKU001,DC03,77,76
2024-01-07,SKU001,DC04,94,92
2024-01-07,SKU002,DC01,80,78
2024-01-07,SKU002,DC02,71,70
2024-01-07,SKU002,DC03,64,63
2024-01-07,SKU002,DC04,21,20
2024-01-07,SKU003,DC01,61,58
2024-01-07,SKU003,DC02,16,15
2024-01-07,SKU003,DC03,151,149
2024-01-07,SKU003,DC04,89,88
2024-01-07,SKU004,DC01,63,61
2024-01-07,SKU004,DC02,62,60
2024-01-07,SKU004,DC03,21,18
2024-01-07,SKU004,DC04,85,83
2024-01-07,SKU005,DC01,90,86
2024-01-07,SKU005,DC02,55,50
2024-01-07,SKU005,DC03,65,62
2024-01-07,SKU005,DC04,75,73
2024-01-07,SKU006,DC01,90,87
2024-01-07,SKU006,DC02,68,65
2024-01-07,SKU006,DC03,115,112
2024-01-07,SKU006,DC04,82,79
2024-01-07,SKU007,DC01,59,56
2024-01-07,SKU007,DC02,31,27
2024-01-07,SKU007,DC03,45,43
2024-01-07,SKU007,DC04,87,83
2024-01-07,SKU008,DC01,59,57
2024-01-07,SKU008,DC02,13,11
2024-01-07,SKU008,DC03,77,73
2024-01-07,SKU008,DC04,23,19
2024-01-07,SKU009,DC01,48,47
2024-01-07,SKU009,DC02,44,43
2024-01-07,SKU009,DC03,29,29
2024-01-07,SKU009,DC04,35,35
2024-01-07,SKU010,DC01,24,24
2024-01-07,SKU010,DC02,27,26
2024-01-07,SKU010,DC03,58,56
2024-01-07,SKU010,DC04,22,21
2024-01-07,SKU011,DC01,53,50
2024-01-07,SKU011,DC02,33,32
2024-01-07,SKU011,DC03,30,28
2024-01-07,SKU011,DC04,102,102
2024-01-07,SKU012,DC01,85,117
2024-01-07,SKU012,DC02,52,51
2024-01-07,SKU012,DC03,58,56
2024-01-07,SKU012,DC04,81,80
2024-01-07,SKU013,DC01,25,23
2024-01-07,SKU013,DC02,48,47
2024-01-07,SKU013,DC03,84,83
2024-01-07,SKU013,DC04,85,83
2024-01-07,SKU014,DC01,23,22
2024-01-07,SKU014,DC02,46,44
2024-01-07,SKU014,DC03,62,60
2024-01-07,SKU014,DC04,92,91
2024-01-07,SKU015,DC01,78,76
2024-01-07,SKU015,DC02,79,76
2024-01-07,SKU015,DC03,64,61
2024-01-07,SKU015,DC04,29,26
2024-01-07,SKU016,DC01,74,71
2024-01-07,SKU016,DC02,43,90
2024-01-07,SKU016,DC03,19,17
2024-01-07,SKU016,DC04,39,35
2024-01-07,SKU017,DC01,39,35
2024-01-07,SKU017,DC02,28,23
2024-01-07,SKU017,DC03,9,3
2024-01-07,SKU017,DC04,76,70
2024-01-07,SKU018,DC01,41,40
2024-01-07,SKU018,DC02,87,86
2024-01-07,SKU018,DC03,22,21
2024-01-07,SKU018,DC04,74,74
2024-01-07,SKU019,DC01,76,74
2024-01-07,SKU019,DC02,28,28
2024-01-07,SKU019,DC03,24,21
2024-01-07,SKU019,DC04,36,34
2024-01-07,SKU020,DC01,62,60
2024-01-07,SKU020,DC02,27,25
2024-01-07,SKU020,DC03,88,87
2024-01-07,SKU020,DC04,104,103
2024-01-07,SKU021,DC01,80,79
2024-01-07,SKU021,DC02,91,90
2024-01-07,SKU021,DC03,63,61
2024-01-07,SKU021,DC04,76,74
2024-01-07,SKU022,DC01,91,88
2024-01-07,SKU022,DC02,29,26
2024-01-07,SKU022,DC03,6,3
2024-01-07,SKU022,DC04,20,17
2024-01-07,SKU023,DC01,80,78
2024-01-07,SKU023,DC02,39,36
2024-01-07,SKU023,DC03,86,85
2024-01-07,SKU023,DC04,101,100
2024-01-07,SKU024,DC01,93,91
2024-01-07,SKU024,DC02,66,64
2024-01-07,SKU024,DC03,69,66
2024-01-07,SKU024,DC04,59,56
2024-01-08,SKU001,DC01,37,36
2024-01-08,SKU001,DC02,80,143
2024-01-08,SKU001,DC03,76,74
2024-01-08,SKU001,DC04,92,92
2024-01-08,SKU002,DC01,78,78
2024-01-08,SKU002,DC02,70,70
2024-01-08,SKU002,DC03,63,61
2024-01-08,SKU002,DC04,20,17
2024-01-08,SKU003,DC01,58,57
2024-01-08,SKU003,DC02,15,13
2024-01-08,SKU003,DC03,149,147
2024-01-08,SKU003,DC04,88,86
2024-01-08,SKU004,DC01,61,60
2024-01-08,SKU004,DC02,60,59
2024-01-08,SKU004,DC03,18,17
2024-01-08,SKU004,DC04,83,81
2024-01-08,SKU005,DC01,86,82
2024-01-08,SKU005,DC02,50,48
2024-01-08,SKU005,DC03,62,58
2024-01-08,SKU005,DC04,73,71
2024-01-08,SKU006,DC01,87,86
2024-01-08,SKU006,DC02,65,81
2024-01-08,SKU006,DC03,112,110
2024-01-08,SKU006,DC04,79,76
2024-01-08,SKU007,DC01,56,53
