sku,product_name,category,supplier,unit_cost,lead_time_days,reorder_point,safety_stock,annual_demand_estimate,active_flag
SKU0028,Maintenance Parts 0028,Maintenance Parts,Cedar Components,107.60,20,88,30,3524,Y
SKU0029,Shipping Supplies 0029,Shipping Supplies,Harbor Safety,111.30,9,99,35,3607,Y
SKU0030,Material Handling 0030,Material Handling,Summit Packaging,115.00,16,30,40,3690,Y
SKU0031,Industrial Supplies 0031,Industrial Supplies,Atlas Industrial,118.70,5,41,45,3773,Y
SKU0032,Electrical Components 0032,Electrical Components,Blue Ridge Supply,122.40,12,52,10,3856,Y
SKU0033,Safety Supplies 0033,Safety Supplies,Cedar Components,6.10,19,63,15,3939,Y
SKU0034,Packaging 0034,Packaging,Harbor Safety,9.80,8,74,20,4022,Y
SKU0035,Tools 0035,Tools,Summit Packaging,13.50,15,85,25,4105,Y
SKU0036,Consumables 0036,Consumables,Atlas Industrial,17.20,4,96,30,4188,Y
SKU0037,Fasteners 0037,Fasteners,Blue Ridge Supply,20.90,11,27,35,4271,Y
SKU0038,Maintenance Parts 0038,Maintenance Parts,Cedar Components,24.60,18,38,40,4354,Y
SKU0039,Shipping Supplies 0039,Shipping Supplies,Harbor Safety,28.30,7,49,45,4437,Y
SKU0040,Material Handling 0040,Material Handling,Summit Packaging,32.00,14,60,10,4520,Y
SKU0041,Industrial Supplies 0041,Industrial Supplies,Atlas Industrial,35.70,21,71,15,4603,Y
SKU0042,Electrical Components 0042,Electrical Components,Blue Ridge Supply,39.40,10,82,20,4686,Y
SKU0043,Safety Supplies 0043,Safety Supplies,Cedar Components,43.10,17,93,25,4769,Y
SKU0044,Packaging 0044,Packaging,Harbor Safety,46.80,6,24,30,4852,Y
SKU0045,Tools 0045,Tools,Summit Packaging,50.50,13,35,35,4935,Y
SKU0046,Consumables 0046,Consumables,Atlas Industrial,54.20,20,46,40,5018,Y
SKU0047,Fasteners 0047,Fasteners,Blue Ridge Supply,57.90,9,57,45,5101,Y
SKU0048,Maintenance Parts 0048,Maintenance Parts,Cedar Components,61.60,16,68,10,5184,Y
SKU0049,Shipping Supplies 0049,Shipping Supplies,Harbor Safety,65.30,5,79,15,5267,Y
SKU0050,Material Handling 0050,Material Handling,Summit Packaging,69.00,12,90,20,5350,Y
SKU0051,Industrial Supplies 0051,Industrial Supplies,Atlas Industrial,72.70,19,21,25,5433,Y
SKU0052,Electrical Components 0052,Electrical Components,Blue Ridge Supply,76.40,8,32,30,5516,Y
SKU0053,Safety Supplies 0053,Safety Supplies,Cedar Components,80.10,15,43,35,5599,Y
SKU0054,Packaging 0054,Packaging,Harbor Safety,83.80,4,54,40,5682,Y
SKU0055,Tools 0055,Tools,Summit Packaging,87.50,11,65,45,5765,Y
SKU0056,Consumables 0056,Consumables,Atlas Industrial,91.20,18,76,10,5848,Y
SKU0057,Fasteners 0057,Fasteners,Blue Ridge Supply,94.90,7,87,15,5931,Y
SKU0058,Maintenance Parts 0058,Maintenance Parts,Cedar Components,98.60,14,98,20,6014,Y
SKU0059,Shipping Supplies 0059,Shipping Supplies,Harbor Safety,102.30,21,29,25,6097,Y
SKU0060,Material Handling 0060,Material Handling,Summit Packaging,106.00,10,40,30,6180,Y
SKU0061,Industrial Supplies 0061,Industrial Supplies,Atlas Industrial,109.70,17,51,35,6263,Y
SKU0062,Electrical Components 0062,Electrical Components,Blue Ridge Supply,113.40,6,62,40,6346,Y
SKU0063,Safety Supplies 0063,Safety Supplies,Cedar Components,117.10,13,73,45,6429,Y
SKU0064,Packaging 0064,Packaging,Harbor Safety,120.80,20,84,10,6512,Y
SKU0065,Tools 0065,Tools,Summit Packaging,4.50,9,95,15,6595,Y
SKU0066,Consumables 0066,Consumables,Atlas Industrial,8.20,16,26,20,6678,Y
SKU0067,Fasteners 0067,Fasteners,Blue Ridge Supply,11.90,5,37,25,6761,Y
SKU0068,Maintenance Parts 0068,Maintenance Parts,Cedar Components,15.60,12,48,30,6844,Y
SKU0069,Shipping Supplies 0069,Shipping Supplies,Harbor Safety,19.30,19,59,35,6927,Y
SKU0070,Material Handling 0070,Material Handling,Summit Packaging,23.00,8,70,40,7010,Y
SKU0071,Industrial Supplies 0071,Industrial Supplies,Atlas Industrial,26.70,15,81,45,7093,Y
SKU0072,Electrical Components 0072,Electrical Components,Blue Ridge Supply,30.40,4,92,10,7176,Y
SKU0073,Safety Supplies 0073,Safety Supplies,Cedar Components,34.10,11,23,15,7259,Y
SKU0074,Packaging 0074,Packaging,Harbor Safety,37.80,18,34,20,7342,Y
SKU0075,Tools 0075,Tools,Summit Packaging,41.50,7,45,25,7425,Y
SKU0076,Consumables 0076,Consumables,Atlas Industrial,45.20,14,56,30,7508,Y
SKU0077,Fasteners 0077,Fasteners,Blue Ridge Supply,48.90,21,67,35,7591,Y
SKU0078,Maintenance Parts 0078,Maintenance Parts,Cedar Components,52.60,10,78,40,7674,Y
SKU0079,Shipping Supplies 0079,Shipping Supplies,Harbor Safety,56.30,17,89,45,7757,Y
SKU0080,Material Handling 0080,Material Handling,Summit Packaging,60.00,6,20,10,7840,Y
SKU0081,Industrial Supplies 0081,Industrial Supplies,Atlas Industrial,63.70,13,31,15,7923,Y
SKU0082,Electrical Components 0082,Electrical Components,Blue Ridge Supply,67.40,20,42,20,8006,Y
SKU0083,Safety Supplies 0083,Safety Supplies,Cedar Components,71.10,9,53,25,8089,Y
SKU0084,Packaging 0084,Packaging,Harbor Safety,74.80,16,64,30,8172,Y
SKU0085,Tools 0085,Tools,Summit Packaging,78.50,5,75,35,8255,Y
SKU0086,Consumables 0086,Consumables,Atlas Industrial,82.20,12,86,40,8338,Y
SKU0087,Fasteners 0087,Fasteners,Blue Ridge Supply,85.90,19,97,45,8421,Y
SKU0088,Maintenance Parts 0088,Maintenance Parts,Cedar Components,89.60,8,28,10,8504,Y
SKU0089,Shipping Supplies 0089,Shipping Supplies,Harbor Safety,93.30,15,39,15,8587,Y
SKU0090,Material Handling 0090,Material Handling,Summit Packaging,97.00,4,50,20,8670,Y
SKU0091,Industrial Supplies 0091,Industrial Supplies,Atlas Industrial,100.70,11,61,25,8753,Y
SKU0092,Electrical Components 0092,Electrical Components,Blue Ridge Supply,104.40,18,72,30,8836,Y
SKU0093,Safety Supplies 0093,Safety Supplies,Cedar Components,108.10,7,83,35,8919,Y
SKU0094,Packaging 0094,Packaging,Harbor Safety,111.80,14,94,40,9002,Y
SKU0095,Tools 0095,Tools,Summit Packaging,115.50,21,25,45,9085,Y
SKU0096,Consumables 0096,Consumables,Atlas Industrial,119.20,10,36,10,9168,Y
SKU0097,Fasteners 0097,Fasteners,Blue Ridge Supply,122.90,17,47,15,9251,Y
SKU0098,Maintenance Parts 0098,Maintenance Parts,Cedar Components,6.60,6,58,20,9334,Y
SKU0099,Shipping Supplies 0099,Shipping Supplies,Harbor Safety,10.30,13,69,25,9417,Y
SKU0100,Material Handling 0100,Material Handling,Summit Packaging,14.00,20,80,30,9500,Y
SKU0101,Industrial Supplies 0101,Industrial Supplies,Atlas Industrial,17.70,9,91,35,9583,Y
SKU0102,Electrical Components 0102,Electrical Components,Blue Ridge Supply,21.40,16,22,40,9666,Y
SKU0103,Safety Supplies 0103,Safety Supplies,Cedar Components,25.10,5,33,45,9749,Y
SKU0104,Packaging 0104,Packaging,Harbor Safety,28.80,12,44,10,9832,Y
SKU0105,Tools 0105,Tools,Summit Packaging,32.50,19,55,15,9915,Y
SKU0106,Consumables 0106,Consumables,Atlas Industrial,36.20,8,66,20,9998,Y
SKU0107,Fasteners 0107,Fasteners,Blue Ridge Supply,39.90,15,77,25,10081,Y
SKU0108,Maintenance Parts 0108,Maintenance Parts,Cedar Components,43.60,4,88,30,10164,Y
SKU0109,Shipping Supplies 0109,Shipping Supplies,Harbor Safety,47.30,11,99,35,1247,Y
SKU0110,Material Handling 0110,Material Handling,Summit Packaging,51.00,18,30,40,1330,Y
SKU0111,Industrial Supplies 0111,Industrial Supplies,Atlas Industrial,54.70,7,41,45,1413,Y
SKU0112,Electrical Components 0112,Electrical Components,Blue Ridge Supply,58.40,14,52,10,1496,Y
SKU0113,Safety Supplies 0113,Safety Supplies,Cedar Components,62.10,21,63,15,1579,Y
SKU0114,Packaging 0114,Packaging,Harbor Safety,65.80,10,74,20,1662,Y
SKU0115,Tools 0115,Tools,Summit Packaging,69.50,17,85,25,1745,Y
SKU0116,Consumables 0116,Consumables,Atlas Industrial,73.20,6,96,30,1828,Y
SKU0117,Fasteners 0117,Fasteners,Blue Ridge Supply,76.90,13,27,35,1911,Y
SKU0118,Maintenance Parts 0118,Maintenance Parts,Cedar Components,80.60,20,38,40,1994,Y
SKU0119,Shipping Supplies 0119,Shipping Supplies,Harbor Safety,84.30,9,49,45,2077,Y
SKU0120,Material Handling 0120,Material Handling,Summit Packaging,88.00,16,60,10,2160,Y
SKU0121,Industrial Supplies 0121,Industrial Supplies,Atlas Industrial,91.70,5,71,15,2243,Y
SKU0122,Electrical Components 0122,Electrical Components,Blue Ridge Supply,95.40,12,82,20,2326,Y
SKU0123,Safety Supplies 0123,Safety Supplies,Cedar Components,99.10,19,93,25,2409,Y
SKU0124,Packaging 0124,Packaging,Harbor Safety,102.80,8,24,30,2492,Y
SKU0125,Tools 0125,Tools,Summit Packaging,106.50,15,35,35,2575,Y
SKU0126,Consumables 0126,Consumables,Atlas Industrial,110.20,4,46,40,2658,Y
SKU0127,Fasteners 0127,Fasteners,Blue Ridge Supply,113.90,11,57,45,2741,Y
SKU0128,Maintenance Parts 0128,Maintenance Parts,Cedar Components,117.60,18,68,10,2824,Y
SKU0129,Shipping Supplies 0129,Shipping Supplies,Harbor Safety,121.30,7,79,15,2907,Y
SKU0130,Material Handling 0130,Material Handling,Summit Packaging,5.00,14,90,20,2990,Y
SKU0131,Industrial Supplies 0131,Industrial Supplies,Atlas Industrial,8.70,21,21,25,3073,Y
SKU0132,Electrical Components 0132,Electrical Components,Blue Ridge Supply,12.40,10,32,30,3156,Y
SKU0133,Safety Supplies 0133,Safety Supplies,Cedar Components,16.10,17,43,35,3239,Y
SKU0134,Packaging 0134,Packaging,Harbor Safety,19.80,6,54,40,3322,Y
SKU0135,Tools 0135,Tools,Summit Packaging,23.50,13,65,45,3405,Y
SKU0136,Consumables 0136,Consumables,Atlas Industrial,27.20,20,76,10,3488,Y
SKU0137,Fasteners 0137,Fasteners,Blue Ridge Supply,30.90,9,87,15,3571,Y
SKU0138,Maintenance Parts 0138,Maintenance Parts,Cedar Components,34.60,16,98,20,3654,Y
SKU0139,Shipping Supplies 0139,Shipping Supplies,Harbor Safety,38.30,5,29,25,3737,Y
SKU0140,Material Handling 0140,Material Handling,Summit Packaging,42.00,12,40,30,3820,Y
SKU0141,Industrial Supplies 0141,Industrial Supplies,Atlas Industrial,45.70,19,51,35,3903,Y
SKU0142,Electrical Components 0142,Electrical Components,Blue Ridge Supply,49.40,8,62,40,3986,Y
SKU0143,Safety Supplies 0143,Safety Supplies,Cedar Components,53.10,15,73,45,4069,Y
SKU0144,Packaging 0144,Packaging,Harbor Safety,56.80,4,84,10,4152,Y
SKU0145,Tools 0145,Tools,Summit Packaging,60.50,11,95,15,4235,Y
SKU0146,Consumables 0146,Consumables,Atlas Industrial,64.20,18,26,20,4318,Y
SKU0147,Fasteners 0147,Fasteners,Blue Ridge Supply,67.90,7,37,25,4401,Y
SKU0148,Maintenance Parts 0148,Maintenance Parts,Cedar Components,71.60,14,48,30,4484,Y
SKU0149,Shipping Supplies 0149,Shipping Supplies,Harbor Safety,75.30,21,59,35,4567,Y
SKU0150,Material Handling 0150,Material Handling,Summit Packaging,79.00,10,70,40,4650,Y
SKU0151,Industrial Supplies 0151,Industrial Supplies,Atlas Industrial,82.70,17,81,45,4733,Y
SKU0152,Electrical Components 0152,Electrical Components,Blue Ridge Supply,86.40,6,92,10,4816,Y
SKU0153,Safety Supplies 0153,Safety Supplies,Cedar Components,90.10,13,23,15,4899,Y
SKU0154,Packaging 0154,Packaging,Harbor Safety,93.80,20,34,20,4982,Y
SKU0155,Tools 0155,Tools,Summit Packaging,97.50,9,45,25,5065,Y
SKU0156,Consumables 0156,Consumables,Atlas Industrial,101.20,16,56,30,5148,Y
SKU0157,Fasteners 0157,Fasteners,Blue Ridge Supply,104.90,5,67,35,5231,Y
SKU0158,Maintenance Parts 0158,Maintenance Parts,Cedar Components,108.60,12,78,40,5314,Y
SKU0159,Shipping Supplies 0159,Shipping Supplies,Harbor Safety,112.30,19,89,45,5397,Y
SKU0160,Material Handling 0160,Material Handling,Summit Packaging,116.00,8,20,10,5480,Y
SKU0161,Industrial Supplies 0161,Industrial Supplies,Atlas Industrial,119.70,15,31,15,5563,Y
SKU0162,Electrical Components 0162,Electrical Components,Blue Ridge Supply,123.40,4,42,20,5646,Y
SKU0163,Safety Supplies 0163,Safety Supplies,Cedar Components,7.10,11,53,25,5729,Y
SKU0164,Packaging 0164,Packaging,Harbor Safety,10.80,18,64,30,5812,Y
SKU0165,Tools 0165,Tools,Summit Packaging,14.50,7,75,35,5895,Y
SKU0166,Consumables 0166,Consumables,Atlas Industrial,18.20,14,86,40,5978,Y
SKU0167,Fasteners 0167,Fasteners,Blue Ridge Supply,21.90,21,97,45,6061,Y
SKU0168,Maintenance Parts 0168,Maintenance Parts,Cedar Components,25.60,10,28,10,6144,Y
SKU0169,Shipping Supplies 0169,Shipping Supplies,Harbor Safety,29.30,17,39,15,6227,Y
SKU0170,Material Handling 0170,Material Handling,Summit Packaging,33.00,6,50,20,6310,Y
SKU0171,Industrial Supplies 0171,Industrial Supplies,Atlas Industrial,36.70,13,61,25,6393,Y
SKU0172,Electrical Components 0172,Electrical Components,Blue Ridge Supply,40.40,20,72,30,6476,Y
SKU0173,Safety Supplies 0173,Safety Supplies,Cedar Components,44.10,9,83,35,6559,Y
SKU0174,Packaging 0174,Packaging,Harbor Safety,47.80,16,94,40,6642,Y
SKU0175,Tools 0175,Tools,Summit Packaging,51.50,5,25,45,6725,Y
SKU0176,Consumables 0176,Consumables,Atlas Industrial,55.20,12,36,10,6808,Y
SKU0177,Fasteners 0177,Fasteners,Blue Ridge Supply,58.90,19,47,15,6891,Y
SKU0178,Maintenance Parts 0178,Maintenance Parts,Cedar Components,62.60,8,58,20,6974,Y
SKU0179,Shipping Supplies 0179,Shipping Supplies,Harbor Safety,66.30,15,69,25,7057,Y
SKU0180,Material Handling 0180,Material Handling,Summit Packaging,70.00,4,80,30,7140,Y
SKU0181,Industrial Supplies 0181,Industrial Supplies,Atlas Industrial,73.70,11,91,35,7223,Y
SKU0182,Electrical Components 0182,Electrical Components,Blue Ridge Supply,77.40,18,22,40,7306,Y
SKU0183,Safety Supplies 0183,Safety Supplies,Cedar Components,81.10,7,33,45,7389,Y
SKU0184,Packaging 0184,Packaging,Harbor Safety,84.80,14,44,10,7472,Y
SKU0185,Tools 0185,Tools,Summit Packaging,88.50,21,55,15,7555,Y
SKU0186,Consumables 0186,Consumables,Atlas Industrial,92.20,10,66,20,7638,Y
SKU0187,Fasteners 0187,Fasteners,Blue Ridge Supply,95.90,17,77,25,7721,Y
SKU0188,Maintenance Parts 0188,Maintenance Parts,Cedar Components,99.60,6,88,30,7804,Y
SKU0189,Shipping Supplies 0189,Shipping Supplies,Harbor Safety,103.30,13,99,35,7887,Y
SKU0190,Material Handling 0190,Material Handling,Summit Packaging,107.00,20,30,40,7970,Y
SKU0191,Industrial Supplies 0191,Industrial Supplies,Atlas Industrial,110.70,9,41,45,8053,Y
SKU0192,Electrical Components 0192,Electrical Components,Blue Ridge Supply,114.40,16,52,10,8136,Y
SKU0193,Safety Supplies 0193,Safety Supplies,Cedar Components,118.10,5,63,15,8219,Y
SKU0194,Packaging 0194,Packaging,Harbor Safety,121.80,12,74,20,8302,Y
SKU0195,Tools 0195,Tools,Summit Packaging,5.50,19,85,25,8385,Y
SKU0196,Consumables 0196,Consumables,Atlas Industrial,9.20,8,96,30,8468,Y
SKU0197,Fasteners 0197,Fasteners,Blue Ridge Supply,12.90,15,27,35,8551,Y
SKU0198,Maintenance Parts 0198,Maintenance Parts,Cedar Components,16.60,4,38,40,8634,Y
SKU0199,Shipping Supplies 0199,Shipping Supplies,Harbor Safety,20.30,11,49,45,8717,Y
SKU0200,Material Handling 0200,Material Handling,Summit Packaging,24.00,18,60,10,8800,Y
SKU0201,Industrial Supplies 0201,Industrial Supplies,Atlas Industrial,27.70,7,71,15,8883,Y
SKU0202,Electrical Components 0202,Electrical Components,Blue Ridge Supply,31.40,14,82,20,8966,Y
SKU0203,Safety Supplies 0203,Safety Supplies,Cedar Components,35.10,21,93,25,9049,Y
SKU0204,Packaging 0204,Packaging,Harbor Safety,38.80,10,24,30,9132,Y
SKU0205,Tools 0205,Tools,Summit Packaging,42.50,17,35,35,9215,Y
SKU0206,Consumables 0206,Consumables,Atlas Industrial,46.20,6,46,40,9298,Y
SKU0207,Fasteners 0207,Fasteners,Blue Ridge Supply,49.90,13,57,45,9381,Y
SKU0208,Maintenance Parts 0208,Maintenance Parts,Cedar Components,53.60,20,68,10,9464,Y
SKU0209,Shipping Supplies 0209,Shipping Supplies,Harbor Safety,57.30,9,79,15,9547,Y
SKU0210,Material Handling 0210,Material Handling,Summit Packaging,61.00,16,90,20,9630,Y
SKU0211,Industrial Supplies 0211,Industrial Supplies,Atlas Industrial,64.70,5,21,25,9713,Y
SKU0212,Electrical Components 0212,Electrical Components,Blue Ridge Supply,68.40,12,32,30,9796,Y
SKU0213,Safety Supplies 0213,Safety Supplies,Cedar Components,72.10,19,43,35,9879,Y
SKU0214,Packaging 0214,Packaging,Harbor Safety,75.80,8,54,40,9962,Y
SKU0215,Tools 0215,Tools,Summit Packaging,79.50,15,65,45,10045,Y
SKU0216,Consumables 0216,Consumables,Atlas Industrial,83.20,4,76,10,10128,Y
SKU0217,Fasteners 0217,Fasteners,Blue Ridge Supply,86.90,11,87,15,1211,Y
SKU0218,Maintenance Parts 0218,Maintenance Parts,Cedar Components,90.60,18,98,20,1294,Y
SKU0219,Shipping Supplies 0219,Shipping Supplies,Harbor Safety,94.30,7,29,25,1377,Y
SKU0220,Material Handling 0220,Material Handling,Summit Packaging,98.00,14,40,30,1460,Y
SKU0221,Industrial Supplies 0221,Industrial Supplies,Atlas Industrial,101.70,21,51,35,1543,Y
SKU0222,Electrical Components 0222,Electrical Components,Blue Ridge Supply,105.40,10,62,40,1626,Y
SKU0223,Safety Supplies 0223,Safety Supplies,Cedar Components,109.10,17,73,45,1709,Y
SKU0224,Packaging 0224,Packaging,Harbor Safety,112.80,6,84,10,1792,Y
SKU0225,Tools 0225,Tools,Summit Packaging,116.50,13,95,15,1875,Y
SKU0226,Consumables 0226,Consumables,Atlas Industrial,120.20,20,26,20,1958,Y
SKU0227,Fasteners 0227,Fasteners,Blue Ridge Supply,123.90,9,37,25,2041,Y
SKU0228,Maintenance Parts 0228,Maintenance Parts,Cedar Components,7.60,16,48,30,2124,Y
SKU0229,Shipping Supplies 0229,Shipping Supplies,Harbor Safety,11.30,5,59,35,2207,Y
SKU0230,Material Handling 0230,Material Handling,Summit Packaging,15.00,12,70,40,2290,Y
SKU0231,Industrial Supplies 0231,Industrial Supplies,Atlas Industrial,18.70,19,81,45,2373,Y
SKU0232,Electrical Components 0232,Electrical Components,Blue Ridge Supply,22.40,8,92,10,2456,Y
SKU0233,Safety Supplies 0233,Safety Supplies,Cedar Components,26.10,15,23,15,2539,Y
SKU0234,Packaging 0234,Packaging,Harbor Safety,29.80,4,34,20,2622,Y
SKU0235,Tools 0235,Tools,Summit Packaging,33.50,11,45,25,2705,Y
SKU0236,Consumables 0236,Consumables,Atlas Industrial,37.20,18,56,30,2788,Y
SKU0237,Fasteners 0237,Fasteners,Blue Ridge Supply,40.90,7,67,35,2871,Y
SKU0238,Maintenance Parts 0238,Maintenance Parts,Cedar Components,44.60,14,78,40,2954,Y
SKU0239,Shipping Supplies 0239,Shipping Supplies,Harbor Safety,48.30,21,89,45,3037,Y
SKU0240,Material Handling 0240,Material Handling,Summit Packaging,52.00,10,20,10,3120,Y
SKU0241,Industrial Supplies 0241,Industrial Supplies,Atlas Industrial,55.70,17,31,15,3203,Y
SKU0242,Electrical Components 0242,Electrical Components,Blue Ridge Supply,59.40,6,42,20,3286,Y
SKU0243,Safety Supplies 0243,Safety Supplies,Cedar Components,63.10,13,53,25,3369,Y
SKU0244,Packaging 0244,Packaging,Harbor Safety,66.80,20,64,30,3452,Y
SKU0245,Tools 0245,Tools,Summit Packaging,70.50,9,75,35,3535,Y
SKU0246,Consumables 0246,Consumables,Atlas Industrial,74.20,16,86,40,3618,Y
SKU0247,Fasteners 0247,Fasteners,Blue Ridge Supply,77.90,5,97,45,3701,Y
SKU0248,Maintenance Parts 0248,Maintenance Parts,Cedar Components,81.60,12,28,10,3784,Y
SKU0249,Shipping Supplies 0249,Shipping Supplies,Harbor Safety,85.30,19,39,15,3867,Y
SKU0250,Material Handling 0250,Material Handling,Summit Packaging,89.00,8,50,20,3950,Y
SKU0251,Industrial Supplies 0251,Industrial Supplies,Atlas Industrial,92.70,15,61,25,4033,Y
SKU0252,Electrical Components 0252,Electrical Components,Blue Ridge Supply,96.40,4,72,30,4116,Y
SKU0253,Safety Supplies 0253,Safety Supplies,Cedar Components,100.10,11,83,35,4199,Y
SKU0254,Packaging 0254,Packaging,Harbor Safety,103.80,18,94,40,4282,Y
SKU0255,Tools 0255,Tools,Summit Packaging,107.50,7,25,45,4365,Y
SKU0256,Consumables 0256,Consumables,Atlas Industrial,111.20,14,36,10,4448,Y
SKU0257,Fasteners 0257,Fasteners,Blue Ridge Supply,114.90,21,47,15,4531,Y
SKU0258,Maintenance Parts 0258,Maintenance Parts,Cedar Components,118.60,10,58,20,4614,Y
SKU0259,Shipping Supplies 0259,Shipping Supplies,Harbor Safety,122.30,17,69,25,4697,Y
SKU0260,Material Handling 0260,Material Handling,Summit Packaging,6.00,6,80,30,4780,Y
SKU0261,Industrial Supplies 0261,Industrial Supplies,Atlas Industrial,9.70,13,91,35,4863,Y
SKU0262,Electrical Components 0262,Electrical Components,Blue Ridge Supply,13.40,20,22,40,4946,Y
SKU0263,Safety Supplies 0263,Safety Supplies,Cedar Components,17.10,9,33,45,5029,Y
SKU0264,Packaging 0264,Packaging,Harbor Safety,20.80,16,44,10,5112,Y
SKU0265,Tools 0265,Tools,Summit Packaging,24.50,5,55,15,5195,Y
SKU0266,Consumables 0266,Consumables,Atlas Industrial,28.20,12,66,20,5278,Y
SKU0267,Fasteners 0267,Fasteners,Blue Ridge Supply,31.90,19,77,25,5361,Y
SKU0268,Maintenance Parts 0268,Maintenance Parts,Cedar Components,35.60,8,88,30,5444,Y
SKU0269,Shipping Supplies 0269,Shipping Supplies,Harbor Safety,39.30,15,99,35,5527,Y
SKU0270,Material Handling 0270,Material Handling,Summit Packaging,43.00,4,30,40,5610,Y
SKU0271,Industrial Supplies 0271,Industrial Supplies,Atlas Industrial,46.70,11,41,45,5693,Y
SKU0272,Electrical Components 0272,Electrical Components,Blue Ridge Supply,50.40,18,52,10,5776,Y
SKU0273,Safety Supplies 0273,Safety Supplies,Cedar Components,54.10,7,63,15,5859,Y
SKU0274,Packaging 0274,Packaging,Harbor Safety,57.80,14,74,20,5942,Y
SKU0275,Tools 0275,Tools,Summit Packaging,61.50,21,85,25,6025,Y
SKU0276,Consumables 0276,Consumables,Atlas Industrial,65.20,10,96,30,6108,Y
SKU0277,Fasteners 0277,Fasteners,Blue Ridge Supply,68.90,17,27,35,6191,Y
SKU0278,Maintenance Parts 0278,Maintenance Parts,Cedar Components,72.60,6,38,40,6274,Y
SKU0279,Shipping Supplies 0279,Shipping Supplies,Harbor Safety,76.30,13,49,45,6357,Y
SKU0280,Material Handling 0280,Material Handling,Summit Packaging,80.00,20,60,10,6440,Y
SKU0281,Industrial Supplies 0281,Industrial Supplies,Atlas Industrial,83.70,9,71,15,6523,Y
SKU0282,Electrical Components 0282,Electrical Components,Blue Ridge Supply,87.40,16,82,20,6606,Y
SKU0283,Safety Supplies 0283,Safety Supplies,Cedar Components,91.10,5,93,25,6689,Y
SKU0284,Packaging 0284,Packaging,Harbor Safety,94.80,12,24,30,6772,Y
SKU0285,Tools 0285,Tools,Summit Packaging,98.50,19,35,35,6855,Y
SKU0286,Consumables 0286,Consumables,Atlas Industrial,102.20,8,46,40,6938,Y
SKU0287,Fasteners 0287,Fasteners,Blue Ridge Supply,105.90,15,57,45,7021,Y
SKU0288,Maintenance Parts 0288,Maintenance Parts,Cedar Components,109.60,4,68,10,7104,Y
SKU0289,Shipping Supplies 0289,Shipping Supplies,Harbor Safety,113.30,11,79,15,7187,Y
SKU0290,Material Handling 0290,Material Handling,Summit Packaging,117.00,18,90,20,7270,Y
SKU0291,Industrial Supplies 0291,Industrial Supplies,Atlas Industrial,120.70,7,21,25,7353,Y
SKU0292,Electrical Components 0292,Electrical Components,Blue Ridge Supply,4.40,14,32,30,7436,Y
SKU0293,Safety Supplies 0293,Safety Supplies,Cedar Components,8.10,21,43,35,7519,Y
SKU0294,Packaging 0294,Packaging,Harbor Safety,11.80,10,54,40,7602,Y
