receipt_id,receipt_date,sku,location_id,quantity_received,supplier_id
REC000077,2024-01-26,SKU023,DC02,46,SUP07
REC000078,2024-01-27,SKU001,DC02,27,SUP01
REC000079,2024-01-27,SKU008,DC01,64,SUP08
REC000080,2024-01-27,SKU012,DC02,20,SUP04
REC000081,2024-01-27,SKU022,DC01,29,SUP06
REC000082,2024-01-28,SKU004,DC01,52,SUP04
REC000083,2024-01-28,SKU009,DC01,22,SUP01
REC000084,2024-01-28,SKU011,DC04,36,SUP03
REC000085,2024-01-28,SKU022,DC02,23,SUP06
REC000086,2024-01-29,SKU001,DC02,17,SUP01
REC000087,2024-01-29,SKU002,DC01,63,SUP02
REC000088,2024-01-29,SKU010,DC02,67,SUP02
REC000089,2024-01-30,SKU010,DC03,75,SUP02
REC000090,2024-01-30,SKU022,DC02,36,SUP06
REC000091,2024-01-31,SKU011,DC03,29,SUP03
REC000092,2024-01-31,SKU013,DC02,46,SUP05
REC000093,2024-01-31,SKU016,DC03,18,SUP08
REC000094,2024-02-01,SKU004,DC01,73,SUP04
REC000095,2024-02-01,SKU007,DC03,72,SUP07
REC000096,2024-02-01,SKU009,DC03,15,SUP01
REC000097,2024-02-01,SKU022,DC01,71,SUP06
REC000098,2024-02-02,SKU003,DC03,54,SUP03
REC000099,2024-02-02,SKU005,DC04,25,SUP05
REC000100,2024-02-02,SKU008,DC01,31,SUP08
REC000101,2024-02-02,SKU009,DC02,61,SUP01
REC000102,2024-02-02,SKU012,DC04,36,SUP04
REC000103,2024-02-02,SKU017,DC04,70,SUP01
REC000104,2024-02-02,SKU024,DC04,66,SUP08
REC000105,2024-02-03,SKU001,DC01,69,SUP01
REC000106,2024-02-03,SKU003,DC01,50,SUP03
REC000107,2024-02-04,SKU015,DC03,65,SUP07
REC000108,2024-02-05,SKU001,DC03,71,SUP01
REC000109,2024-02-05,SKU012,DC02,58,SUP04
REC000110,2024-02-05,SKU014,DC03,49,SUP06
REC000111,2024-02-05,SKU020,DC03,68,SUP04
REC000112,2024-02-06,SKU009,DC03,33,SUP01
REC000113,2024-02-06,SKU011,DC03,32,SUP03
REC000114,2024-02-07,SKU004,DC01,60,SUP04
REC000115,2024-02-07,SKU011,DC02,73,SUP03
REC000116,2024-02-07,SKU013,DC02,53,SUP05
REC000117,2024-02-07,SKU019,DC02,23,SUP03
REC000118,2024-02-07,SKU022,DC02,46,SUP06
REC000119,2024-02-08,SKU003,DC03,56,SUP03
REC000120,2024-02-08,SKU009,DC03,19,SUP01
REC000121,2024-02-08,SKU014,DC01,57,SUP06
REC000122,2024-02-09,SKU002,DC04,39,SUP02
REC000123,2024-02-09,SKU011,DC02,38,SUP03
REC000124,2024-02-09,SKU013,DC04,16,SUP05
REC000125,2024-02-09,SKU015,DC02,35,SUP07
REC000126,2024-02-09,SKU021,DC01,64,SUP05
REC000127,2024-02-09,SKU021,DC04,50,SUP05
REC000128,2024-02-10,SKU001,DC04,73,SUP01
REC000129,2024-02-10,SKU005,DC04,73,SUP05
REC000130,2024-02-10,SKU012,DC03,41,SUP04
REC000131,2024-02-11,SKU002,DC02,20,SUP02
REC000132,2024-02-11,SKU012,DC04,49,SUP04
REC000133,2024-02-11,SKU015,DC04,63,SUP07
REC000134,2024-02-12,SKU002,DC02,59,SUP02
REC000135,2024-02-12,SKU005,DC01,18,SUP05
REC000136,2024-02-12,SKU008,DC02,17,SUP08
REC000137,2024-02-12,SKU008,DC03,18,SUP08
REC000138,2024-02-12,SKU011,DC01,40,SUP03
REC000139,2024-02-13,SKU022,DC02,52,SUP06
REC000140,2024-02-14,SKU007,DC02,33,SUP07
REC000141,2024-02-14,SKU018,DC04,61,SUP02
REC000142,2024-02-14,SKU023,DC03,16,SUP07
REC000143,2024-02-15,SKU007,DC03,50,SUP07
REC000144,2024-02-15,SKU016,DC01,69,SUP08
REC000145,2024-02-15,SKU016,DC04,37,SUP08
REC000146,2024-02-15,SKU019,DC02,33,SUP03
REC000147,2024-02-15,SKU020,DC01,29,SUP04
REC000148,2024-02-15,SKU023,DC03,56,SUP07
REC000149,2024-02-16,SKU002,DC03,48,SUP02
REC000150,2024-02-16,SKU007,DC02,45,SUP07
REC000151,2024-02-16,SKU023,DC04,24,SUP07
REC000152,2024-02-17,SKU023,DC02,23,SUP07
REC000153,2024-02-18,SKU009,DC01,43,SUP01
REC000154,2024-02-18,SKU012,DC04,33,SUP04
REC000155,2024-02-18,SKU013,DC01,23,SUP05
REC000156,2024-02-18,SKU017,DC03,74,SUP01
REC000157,2024-02-18,SKU018,DC02,60,SUP02
REC000158,2024-02-18,SKU024,DC01,29,SUP08
REC000159,2024-02-19,SKU005,DC04,32,SUP05
REC000160,2024-02-19,SKU012,DC03,54,SUP04
REC000161,2024-02-20,SKU020,DC04,31,SUP04
REC000162,2024-02-21,SKU005,DC01,56,SUP05
REC000163,2024-02-21,SKU011,DC03,69,SUP03
REC000164,2024-02-21,SKU013,DC04,26,SUP05
REC000165,2024-02-21,SKU021,DC01,40,SUP05
REC000166,2024-02-22,SKU006,DC03,72,SUP06
REC000167,2024-02-22,SKU024,DC04,65,SUP08
REC000168,2024-02-23,SKU004,DC02,53,SUP04
REC000169,2024-02-23,SKU010,DC03,68,SUP02
REC000170,2024-02-23,SKU019,DC04,41,SUP03
REC000171,2024-02-23,SKU022,DC01,29,SUP06
REC000172,2024-02-24,SKU009,DC01,53,SUP01
REC000173,2024-02-24,SKU017,DC01,62,SUP01
REC000174,2024-02-24,SKU022,DC04,37,SUP06
REC000175,2024-02-25,SKU005,DC04,19,SUP05
REC000176,2024-02-25,SKU007,DC01,67,SUP07
REC000177,2024-02-25,SKU008,DC01,53,SUP08
REC000178,2024-02-25,SKU008,DC03,34,SUP08
REC000179,2024-02-25,SKU014,DC01,20,SUP06
REC000180,2024-02-25,SKU023,DC02,38,SUP07
REC000181,2024-02-26,SKU010,DC01,41,SUP02
REC000182,2024-02-26,SKU014,DC03,20,SUP06
REC000183,2024-02-27,SKU002,DC03,49,SUP02
REC000184,2024-02-27,SKU014,DC04,69,SUP06
REC000185,2024-02-28,SKU019,DC02,18,SUP03
REC000186,2024-02-28,SKU022,DC01,49,SUP06
REC000187,2024-02-29,SKU002,DC03,64,SUP02
REC000188,2024-02-29,SKU020,DC02,65,SUP04
REC000189,2024-03-01,SKU015,DC02,23,SUP07
REC000190,2024-03-01,SKU015,DC04,68,SUP07
REC000191,2024-03-01,SKU016,DC03,31,SUP08
REC000192,2024-03-01,SKU016,DC04,32,SUP08
REC000193,2024-03-02,SKU008,DC04,62,SUP08
REC000194,2024-03-02,SKU009,DC03,73,SUP01
REC000195,2024-03-02,SKU024,DC03,29,SUP08
REC000196,2024-03-03,SKU001,DC04,27,SUP01
REC000197,2024-03-03,SKU003,DC01,72,SUP03
REC000198,2024-03-03,SKU005,DC04,42,SUP05
REC000199,2024-03-03,SKU019,DC01,21,SUP03
REC000200,2024-03-04,SKU003,DC02,27,SUP03
REC000201,2024-03-04,SKU007,DC02,62,SUP07
REC000202,2024-03-04,SKU010,DC02,28,SUP02
REC000203,2024-03-04,SKU020,DC02,30,SUP04
REC000204,2024-03-04,SKU021,DC03,18,SUP05
REC000205,2024-03-04,SKU023,DC01,48,SUP07
REC000206,2024-03-05,SKU002,DC01,60,SUP02
REC000207,2024-03-05,SKU010,DC04,29,SUP02
REC000208,2024-03-05,SKU011,DC03,24,SUP03
REC000209,2024-03-05,SKU020,DC04,15,SUP04
REC000210,2024-03-06,SKU004,DC01,75,SUP04
REC000211,2024-03-06,SKU004,DC03,71,SUP04
REC000212,2024-03-06,SKU006,DC03,25,SUP06
REC000213,2024-03-06,SKU008,DC03,62,SUP08
REC000214,2024-03-07,SKU005,DC03,22,SUP05
REC000215,2024-03-07,SKU011,DC04,73,SUP03
REC000216,2024-03-07,SKU016,DC02,36,SUP08
REC000217,2024-03-08,SKU001,DC04,49,SUP01
REC000218,2024-03-08,SKU013,DC04,46,SUP05
REC000219,2024-03-08,SKU015,DC03,46,SUP07
REC000220,2024-03-08,SKU020,DC04,65,SUP04
REC000221,2024-03-09,SKU003,DC03,70,SUP03
REC000222,2024-03-09,SKU006,DC01,51,SUP06
REC000223,2024-03-09,SKU015,DC02,58,SUP07
REC000224,2024-03-09,SKU021,DC04,37,SUP05
REC000225,2024-03-09,SKU024,DC03,57,SUP08
REC000226,2024-03-10,SKU008,DC04,27,SUP08
REC000227,2024-03-10,SKU019,DC03,27,SUP03
REC000228,2024-03-10,SKU023,DC04,34,SUP07
REC000229,2024-03-11,SKU013,DC03,38,SUP05
REC000230,2024-03-11,SKU019,DC01,19,SUP03
REC000231,2024-03-11,SKU021,DC04,59,SUP05
REC000232,2024-03-11,SKU023,DC01,62,SUP07
REC000233,2024-03-12,SKU005,DC04,29,SUP05
REC000234,2024-03-12,SKU016,DC02,21,SUP08
REC000235,2024-03-12,SKU022,DC04,31,SUP06
REC000236,2024-03-13,SKU002,DC04,52,SUP02
REC000237,2024-03-13,SKU006,DC02,64,SUP06
REC000238,2024-03-13,SKU013,DC01,21,SUP05
REC000239,2024-03-13,SKU016,DC02,18,SUP08
REC000240,2024-03-14,SKU002,DC04,15,SUP02
REC000241,2024-03-14,SKU009,DC02,30,SUP01
REC000242,2024-03-14,SKU010,DC03,66,SUP02
REC000243,2024-03-14,SKU018,DC02,16,SUP02
REC000244,2024-03-14,SKU018,DC04,55,SUP02
REC000245,2024-03-15,SKU007,DC03,60,SUP07
REC000246,2024-03-15,SKU014,DC04,67,SUP06
REC000247,2024-03-16,SKU006,DC01,75,SUP06
REC000248,2024-03-16,SKU009,DC02,69,SUP01
REC000249,2024-03-16,SKU014,DC02,72,SUP06
REC000250,2024-03-16,SKU020,DC04,31,SUP04
REC000251,2024-03-17,SKU001,DC04,70,SUP01
REC000252,2024-03-17,SKU016,DC04,37,SUP08
REC000253,2024-03-18,SKU002,DC02,27,SUP02
REC000254,2024-03-18,SKU005,DC02,49,SUP05
REC000255,2024-03-18,SKU011,DC03,19,SUP03
REC000256,2024-03-18,SKU013,DC02,26,SUP05
REC000257,2024-03-18,SKU013,DC03,30,SUP05
REC000258,2024-03-18,SKU017,DC02,22,SUP01
REC000259,2024-03-18,SKU024,DC01,46,SUP08
REC000260,2024-03-19,SKU008,DC04,51,SUP08
REC000261,2024-03-19,SKU011,DC04,45,SUP03
REC000262,2024-03-19,SKU016,DC02,51,SUP08
REC000263,2024-03-19,SKU024,DC01,69,SUP08
REC000264,2024-03-19,SKU024,DC04,73,SUP08
REC000265,2024-03-20,SKU002,DC04,71,SUP02
REC000266,2024-03-20,SKU003,DC01,33,SUP03
REC000267,2024-03-20,SKU004,DC04,71,SUP04
REC000268,2024-03-21,SKU003,DC04,27,SUP03
REC000269,2024-03-21,SKU008,DC01,21,SUP08
REC000270,2024-03-21,SKU008,DC02,72,SUP08
REC000271,2024-03-23,SKU005,DC03,68,SUP05
REC000272,2024-03-23,SKU007,DC01,70,SUP07
REC000273,2024-03-23,SKU010,DC04,17,SUP02
REC000274,2024-03-23,SKU023,DC01,52,SUP07
REC000275,2024-03-24,SKU003,DC01,22,SUP03
REC000276,2024-03-24,SKU004,DC02,57,SUP04
REC000277,2024-03-24,SKU009,DC02,26,SUP01
REC000278,2024-03-24,SKU016,DC01,27,SUP08
REC000279,2024-03-24,SKU018,DC01,23,SUP02
REC000280,2024-03-25,SKU004,DC02,68,SUP04
REC000281,2024-03-25,SKU012,DC04,21,SUP04
REC000282,2024-03-25,SKU017,DC03,50,SUP01
REC000283,2024-03-25,SKU018,DC02,48,SUP02
REC000284,2024-03-25,SKU022,DC03,72,SUP06
REC000285,2024-03-26,SKU008,DC01,72,SUP08
REC000286,2024-03-26,SKU019,DC04,35,SUP03
REC000287,2024-03-27,SKU008,DC02,67,SUP08
REC000288,2024-03-27,SKU009,DC01,42,SUP01
REC000289,2024-03-28,SKU016,DC01,15,SUP08
REC000290,2024-03-29,SKU002,DC03,55,SUP02
REC000291,2024-03-29,SKU005,DC04,53,SUP05
REC000292,2024-03-29,SKU007,DC04,41,SUP07
REC000293,2024-03-29,SKU009,DC03,31,SUP01
REC000294,2024-03-29,SKU015,DC04,63,SUP07
REC000295,2024-03-30,SKU001,DC01,21,SUP01
REC000296,2024-03-30,SKU005,DC03,73,SUP05
REC000297,2024-03-30,SKU016,DC04,17,SUP08
REC000298,2024-03-31,SKU008,DC03,40,SUP08
REC000299,2024-03-31,SKU015,DC04,15,SUP07
REC000300,2024-03-31,SKU019,DC01,70,SUP03
REC000301,2024-04-01,SKU003,DC02,35,SUP03
REC000302,2024-04-01,SKU019,DC02,70,SUP03
REC000303,2024-04-02,SKU003,DC04,19,SUP03
REC000304,2024-04-02,SKU011,DC01,17,SUP03
REC000305,2024-04-03,SKU002,DC03,32,SUP02
REC000306,2024-04-03,SKU004,DC03,17,SUP04
REC000307,2024-04-03,SKU010,DC01,17,SUP02
REC000308,2024-04-03,SKU011,DC02,41,SUP03
REC000309,2024-04-03,SKU013,DC02,39,SUP05
REC000310,2024-04-04,SKU001,DC01,49,SUP01
REC000311,2024-04-04,SKU002,DC03,58,SUP02
REC000312,2024-04-04,SKU014,DC01,73,SUP06
REC000313,2024-04-04,SKU018,DC02,16,SUP02
REC000314,2024-04-04,SKU019,DC04,17,SUP03
REC000315,2024-04-04,SKU022,DC03,56,SUP06
REC000316,2024-04-05,SKU012,DC01,61,SUP04
REC000317,2024-04-05,SKU014,DC04,57,SUP06
REC000318,2024-04-05,SKU015,DC04,42,SUP07
REC000319,2024-04-05,SKU021,DC01,45,SUP05
REC000320,2024-04-06,SKU017,DC04,72,SUP01
REC000321,2024-04-06,SKU024,DC04,42,SUP08
REC000322,2024-04-07,SKU011,DC04,52,SUP03
REC000323,2024-04-07,SKU015,DC04,58,SUP07
REC000324,2024-04-08,SKU005,DC02,59,SUP05
REC000325,2024-04-08,SKU021,DC01,62,SUP05
REC000326,2024-04-08,SKU021,DC04,23,SUP05
REC000327,2024-04-09,SKU004,DC01,25,SUP04
REC000328,2024-04-11,SKU004,DC03,20,SUP04
REC000329,2024-04-11,SKU009,DC02,52,SUP01
REC000330,2024-04-11,SKU016,DC04,47,SUP08
REC000331,2024-04-11,SKU019,DC02,55,SUP03
REC000332,2024-04-12,SKU001,DC04,60,SUP01
REC000333,2024-04-12,SKU006,DC02,51,SUP06
REC000334,2024-04-12,SKU011,DC03,23,SUP03
REC000335,2024-04-12,SKU021,DC02,47,SUP05
REC000336,2024-04-12,SKU023,DC01,23,SUP07
REC000337,2024-04-13,SKU002,DC03,36,SUP02
REC000338,2024-04-13,SKU011,DC01,32,SUP03
REC000339,2024-04-13,SKU018,DC03,32,SUP02
REC000340,2024-04-14,SKU007,DC01,21,SUP07
REC000341,2024-04-14,SKU016,DC03,71,SUP08
REC000342,2024-04-14,SKU018,DC03,57,SUP02
REC000343,2024-04-15,SKU024,DC03,47,SUP08
REC000344,2024-04-16,SKU006,DC04,71,SUP06
REC000345,2024-04-16,SKU021,DC02,17,SUP05
REC000346,2024-04-17,SKU002,DC04,55,SUP02
REC000347,2024-04-17,SKU011,DC01,26,SUP03
REC000348,2024-04-17,SKU011,DC04,65,SUP03
REC000349,2024-04-17,SKU019,DC02,18,SUP03
REC000350,2024-04-18,SKU004,DC01,40,SUP04
REC000351,2024-04-18,SKU006,DC03,38,SUP06
REC000352,2024-04-18,SKU009,DC04,31,SUP01
REC000353,2024-04-19,SKU009,DC02,35,SUP01
REC000354,2024-04-19,SKU009,DC03,30,SUP01
REC000355,2024-04-19,SKU010,DC03,30,SUP02
REC000356,2024-04-19,SKU019,DC03,64,SUP03
REC000357,2024-04-19,SKU022,DC04,50,SUP06
REC000358,2024-04-20,SKU002,DC03,36,SUP02
REC000359,2024-04-20,SKU014,DC03,56,SUP06
REC000360,2024-04-20,SKU022,DC02,31,SUP06
REC000361,2024-04-21,SKU006,DC02,32,SUP06
REC000362,2024-04-22,SKU013,DC03,17,SUP05
REC000363,2024-04-22,SKU014,DC04,57,SUP06
REC000364,2024-04-22,SKU018,DC01,30,SUP02
REC000365,2024-04-23,SKU005,DC02,72,SUP05
REC000366,2024-04-23,SKU012,DC04,16,SUP04
REC000367,2024-04-23,SKU020,DC04,63,SUP04
REC000368,2024-04-24,SKU004,DC04,43,SUP04
REC000369,2024-04-25,SKU006,DC04,55,SUP06
REC000370,2024-04-25,SKU008,DC02,56,SUP08
REC000371,2024-04-25,SKU010,DC01,45,SUP02
REC000372,2024-04-25,SKU024,DC03,47,SUP08
REC000373,2024-04-26,SKU006,DC03,71,SUP06
REC000374,2024-04-26,SKU018,DC02,24,SUP02
REC000375,2024-04-26,SKU019,DC02,18,SUP03
REC000376,2024-04-26,SKU023,DC02,64,SUP07
REC000377,2024-04-27,SKU019,DC02,36,SUP03
REC000378,2024-04-28,SKU004,DC02,62,SUP04
REC000379,2024-04-28,SKU004,DC04,15,SUP04
REC000380,2024-04-28,SKU011,DC01,64,SUP03
REC000381,2024-04-28,SKU014,DC03,22,SUP06
REC000382,2024-04-28,SKU016,DC01,58,SUP08
REC000383,2024-04-28,SKU017,DC02,45,SUP01
REC000384,2024-04-28,SKU020,DC01,36,SUP04
REC000385,2024-04-29,SKU002,DC04,45,SUP02
REC000386,2024-04-29,SKU006,DC02,67,SUP06
REC000387,2024-04-29,SKU007,DC01,39,SUP07
REC000388,2024-04-29,SKU014,DC04,54,SUP06
REC000389,2024-04-29,SKU017,DC03,64,SUP01
REC000390,2024-04-30,SKU003,DC01,33,SUP03
REC000391,2024-04-30,SKU004,DC04,57,SUP04
REC000392,2024-04-30,SKU009,DC03,19,SUP01
REC000393,2024-04-30,SKU024,DC03,37,SUP08
REC000394,2024-04-30,SKU024,DC04,24,SUP08
REC000395,2024-05-01,SKU002,DC04,71,SUP02
REC000396,2024-05-01,SKU021,DC02,39,SUP05
REC000397,2024-05-01,SKU023,DC03,73,SUP07
REC000398,2024-05-02,SKU003,DC01,28,SUP03
REC000399,2024-05-02,SKU003,DC04,51,SUP03
REC000400,2024-05-02,SKU010,DC04,40,SUP02
REC000401,2024-05-03,SKU011,DC01,41,SUP03
REC000402,2024-05-03,SKU017,DC01,68,SUP01
REC000403,2024-05-04,SKU008,DC01,22,SUP08
REC000404,2024-05-04,SKU019,DC02,59,SUP03
REC000405,2024-05-05,SKU002,DC01,55,SUP02
REC000406,2024-05-05,SKU006,DC01,35,SUP06
REC000407,2024-05-05,SKU011,DC04,41,SUP03
REC000408,2024-05-05,SKU014,DC03,74,SUP06
REC000409,2024-05-06,SKU015,DC02,47,SUP07
REC000410,2024-05-06,SKU016,DC03,22,SUP08
REC000411,2024-05-07,SKU003,DC01,27,SUP03
REC000412,2024-05-07,SKU008,DC04,72,SUP08
REC000413,2024-05-07,SKU013,DC03,73,SUP05
REC000414,2024-05-07,SKU017,DC01,29,SUP01
REC000415,2024-05-07,SKU018,DC04,34,SUP02
REC000416,2024-05-08,SKU003,DC02,53,SUP03
REC000417,2024-05-08,SKU012,DC04,52,SUP04
REC000418,2024-05-08,SKU020,DC03,44,SUP04
REC000419,2024-05-09,SKU002,DC01,73,SUP02
REC000420,2024-05-09,SKU012,DC04,29,SUP04
REC000421,2024-05-09,SKU014,DC03,33,SUP06
REC000422,2024-05-09,SKU016,DC03,22,SUP08
REC000423,2024-05-09,SKU021,DC03,51,SUP05
REC000424,2024-05-10,SKU004,DC04,43,SUP04
REC000425,2024-05-10,SKU017,DC04,33,SUP01
REC000426,2024-05-10,SKU020,DC01,72,SUP04
REC000427,2024-05-10,SKU022,DC04,34,SUP06
REC000428,2024-05-11,SKU013,DC03,17,SUP05
REC000429,2024-05-11,SKU024,DC01,23,SUP08
REC000430,2024-05-11,SKU024,DC04,24,SUP08
REC000431,2024-05-12,SKU013,DC04,17,SUP05
REC000432,2024-05-13,SKU007,DC03,39,SUP07
REC000433,2024-05-13,SKU010,DC01,61,SUP02
REC000434,2024-05-13,SKU014,DC03,27,SUP06
REC000435,2024-05-13,SKU017,DC02,33,SUP01
REC000436,2024-05-13,SKU022,DC04,42,SUP06
REC000437,2024-05-14,SKU004,DC04,29,SUP04
REC000438,2024-05-14,SKU007,DC01,63,SUP07
REC000439,2024-05-14,SKU012,DC03,26,SUP04
REC000440,2024-05-14,SKU018,DC02,22,SUP02
REC000441,2024-05-14,SKU021,DC01,23,SUP05
REC000442,2024-05-15,SKU003,DC04,50,SUP03
REC000443,2024-05-15,SKU007,DC03,48,SUP07
REC000444,2024-05-15,SKU023,DC01,62,SUP07
REC000445,2024-05-16,SKU005,DC02,50,SUP05
REC000446,2024-05-16,SKU006,DC02,67,SUP06
REC000447,2024-05-16,SKU007,DC01,27,SUP07
REC000448,2024-05-16,SKU009,DC01,21,SUP01
REC000449,2024-05-16,SKU012,DC04,47,SUP04
REC000450,2024-05-16,SKU016,DC03,24,SUP08
REC000451,2024-05-16,SKU020,DC04,67,SUP04
REC000452,2024-05-16,SKU021,DC01,67,SUP05
REC000453,2024-05-17,SKU005,DC01,55,SUP05
REC000454,2024-05-17,SKU013,DC03,23,SUP05
REC000455,2024-05-18,SKU002,DC02,33,SUP02
REC000456,2024-05-18,SKU017,DC04,36,SUP01
REC000457,2024-05-18,SKU018,DC04,21,SUP02
REC000458,2024-05-18,SKU019,DC04,30,SUP03
REC000459,2024-05-18,SKU022,DC03,55,SUP06
REC000460,2024-05-18,SKU023,DC02,64,SUP07
REC000461,2024-05-19,SKU007,DC02,69,SUP07
REC000462,2024-05-19,SKU009,DC04,72,SUP01
REC000463,2024-05-19,SKU019,DC01,30,SUP03
REC000464,2024-05-20,SKU018,DC03,68,SUP02
REC000465,2024-05-20,SKU021,DC01,62,SUP05
REC000466,2024-05-21,SKU001,DC03,65,SUP01
REC000467,2024-05-21,SKU004,DC02,27,SUP04
REC000468,2024-05-21,SKU017,DC02,27,SUP01
REC000469,2024-05-21,SKU018,DC02,64,SUP02
REC000470,2024-05-21,SKU019,DC04,62,SUP03
REC000471,2024-05-21,SKU021,DC01,15,SUP05
REC000472,2024-05-22,SKU018,DC01,23,SUP02
REC000473,2024-05-22,SKU018,DC04,47,SUP02
REC000474,2024-05-22,SKU020,DC02,16,SUP04
REC000475,2024-05-23,SKU002,DC04,16,SUP02
REC000476,2024-05-23,SKU009,DC02,36,SUP01
REC000477,2024-05-24,SKU005,DC04,19,SUP05
REC000478,2024-05-24,SKU013,DC01,38,SUP05
REC000479,2024-05-24,SKU013,DC04,67,SUP05
REC000480,2024-05-25,SKU012,DC03,38,SUP04
REC000481,2024-05-25,SKU016,DC04,19,SUP08
REC000482,2024-05-25,SKU019,DC04,28,SUP03
REC000483,2024-05-26,SKU005,DC03,37,SUP05
REC000484,2024-05-26,SKU009,DC04,54,SUP01
REC000485,2024-05-26,SKU016,DC03,36,SUP08
REC000486,2024-05-26,SKU018,DC04,40,SUP02
REC000487,2024-05-27,SKU001,DC04,32,SUP01
REC000488,2024-05-27,SKU004,DC01,24,SUP04
REC000489,2024-05-27,SKU007,DC03,59,SUP07
REC000490,2024-05-27,SKU011,DC03,71,SUP03
REC000491,2024-05-27,SKU016,DC04,57,SUP08
REC000492,2024-05-27,SKU023,DC03,24,SUP07
REC000493,2024-05-27,SKU024,DC01,31,SUP08
REC000494,2024-05-28,SKU001,DC02,49,SUP01
REC000495,2024-05-28,SKU004,DC02,50,SUP04
REC000496,2024-05-28,SKU006,DC02,28,SUP06
REC000497,2024-05-28,SKU007,DC03,63,SUP07
