priority_rank,sku,product_name,category,supplier,location_count,total_system_qty,total_physical_qty,total_quantity_variance,total_absolute_quantity_variance,unit_cost,inventory_value,adjustment_exposure,average_daily_demand,days_of_supply,reorder_point,safety_stock,lead_time_days,reorder_point_trigger,safety_stock_trigger,lead_time_trigger,materiality_flag,replenishment_tier,replenishment_reason,action_flag,priority_score
11,SKU0128,Maintenance Parts 0128,Maintenance Parts,Cedar Components,12,9871,9871,0,0,117.60,1160829.60,1881.60,4.96,1991.91,68,10,18,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,28.90
12,SKU0063,Safety Supplies 0063,Safety Supplies,Cedar Components,12,9906,9906,0,0,117.10,1159992.60,1873.60,5.25,1886.86,73,45,13,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,28.85
13,SKU0259,Shipping Supplies 0259,Shipping Supplies,Harbor Safety,12,6864,6864,0,0,122.30,839467.20,2201.40,5.25,1307.43,69,25,17,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,25.17
14,SKU0194,Packaging 0194,Packaging,Harbor Safety,12,6901,6901,0,0,121.80,840541.80,2192.40,5.63,1225.03,74,20,12,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,25.14
15,SKU0064,Packaging 0064,Packaging,Harbor Safety,12,6946,6944,2,2,120.80,838835.20,2174.40,5.07,1370.53,84,10,20,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,25.02
16,SKU0129,Shipping Supplies 0129,Shipping Supplies,Harbor Safety,12,6845,6845,0,0,121.30,830298.50,1940.80,5.62,1218.69,79,15,7,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,23.69
17,SKU0257,Fasteners 0257,Fasteners,Blue Ridge Supply,12,9287,9287,0,0,114.90,1067076.30,919.20,5.71,1627.71,47,15,21,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,22.45
18,SKU0127,Fasteners 0127,Fasteners,Blue Ridge Supply,12,9328,9328,0,0,113.90,1062459.20,911.20,5.29,1761.85,57,45,11,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,22.34
19,SKU0062,Electrical Components 0062,Electrical Components,Blue Ridge Supply,12,9007,9007,0,0,113.40,1021393.80,1020.60,5.37,1678.32,62,40,6,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,22.21
20,SKU0154,Packaging 0154,Packaging,Harbor Safety,12,8392,8390,2,2,93.80,786982.00,1688.40,5.57,1507.19,34,20,20,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,21.69
21,SKU0284,Packaging 0284,Packaging,Harbor Safety,12,8240,8240,0,0,94.80,781152.00,1706.40,5.04,1633.48,24,30,12,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,21.68
22,SKU0192,Electrical Components 0192,Electrical Components,Blue Ridge Supply,12,8919,8919,0,0,114.40,1020333.60,915.20,5.00,1783.80,52,10,16,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,21.66
23,SKU0089,Shipping Supplies 0089,Shipping Supplies,Harbor Safety,12,8185,8185,0,0,93.30,763660.50,1679.40,5.71,1434.57,39,15,15,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,21.26
24,SKU0249,Shipping Supplies 0249,Shipping Supplies,Harbor Safety,12,9285,9285,0,0,85.30,792010.50,1535.40,5.82,1596.28,39,15,19,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,21.00
25,SKU0184,Packaging 0184,Packaging,Harbor Safety,12,9936,9936,0,0,84.80,842572.80,1356.80,4.96,2005.02,44,10,14,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,20.93
26,SKU0219,Shipping Supplies 0219,Shipping Supplies,Harbor Safety,12,8290,8290,0,0,94.30,781747.00,1508.80,5.18,1599.36,29,25,7,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,20.69
27,SKU0024,Packaging 0024,Packaging,Harbor Safety,12,8499,8499,0,0,92.80,788707.20,1484.80,5.00,1699.80,44,10,10,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,20.69
28,SKU0054,Packaging 0054,Packaging,Harbor Safety,12,9692,9692,0,0,83.80,812189.60,1340.80,5.63,1720.47,54,40,4,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,20.35
29,SKU0124,Packaging 0124,Packaging,Harbor Safety,12,6311,6311,0,0,102.80,648770.80,1850.40,4.93,1279.26,24,30,8,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,20.21
30,SKU0097,Fasteners 0097,Fasteners,Blue Ridge Supply,12,7373,7373,0,0,122.90,906141.70,983.20,5.75,1282.26,47,15,17,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,20.10
31,SKU0032,Electrical Components 0032,Electrical Components,Blue Ridge Supply,12,7084,7084,0,0,122.40,867081.60,1101.60,5.04,1404.32,52,10,12,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,20.05
32,SKU0155,Tools 0155,Tools,Summit Packaging,12,9529,9529,0,0,97.50,929077.50,877.50,5.29,1799.81,45,25,9,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,19.94
33,SKU0119,Shipping Supplies 0119,Shipping Supplies,Harbor Safety,12,9246,9246,0,0,84.30,779437.80,1348.80,5.25,1761.14,49,45,9,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,19.84
34,SKU0189,Shipping Supplies 0189,Shipping Supplies,Harbor Safety,12,6628,6628,0,0,103.30,684672.40,1652.80,5.79,1143.85,99,35,13,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,19.80
35,SKU0118,Maintenance Parts 0118,Maintenance Parts,Cedar Components,12,9215,9215,0,0,80.60,742729.00,1450.80,5.37,1717.08,38,40,20,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,19.75
36,SKU0162,Electrical Components 0162,Electrical Components,Blue Ridge Supply,12,7156,7156,0,0,123.40,883050.40,987.20,5.46,1311.69,42,20,4,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,19.73
37,SKU0218,Maintenance Parts 0218,Maintenance Parts,Cedar Components,12,7508,7508,0,0,90.60,680224.80,1630.80,5.46,1376.21,98,20,18,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,19.62
38,SKU0183,Safety Supplies 0183,Safety Supplies,Cedar Components,12,9582,9582,0,0,81.10,777100.20,1297.60,5.29,1809.82,33,45,7,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,19.54
39,SKU0227,Fasteners 0227,Fasteners,Blue Ridge Supply,12,7011,7011,0,0,123.90,868662.90,991.20,5.38,1302.35,37,25,9,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,19.51
40,SKU0025,Tools 0025,Tools,Summit Packaging,12,9318,9317,1,1,96.50,899090.50,868.50,5.82,1601.78,55,15,17,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,19.40
41,SKU0283,Safety Supplies 0283,Safety Supplies,Cedar Components,12,7287,7289,-2,2,91.10,664027.90,1639.80,5.38,1353.99,93,25,5,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,19.39
42,SKU0285,Tools 0285,Tools,Summit Packaging,12,9372,9372,0,0,98.50,923142.00,788.00,5.71,1642.61,35,35,19,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,19.39
43,SKU0254,Packaging 0254,Packaging,Harbor Safety,12,6301,6301,0,0,103.80,654043.80,1660.80,5.50,1145.64,94,40,18,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,19.33
44,SKU0053,Safety Supplies 0053,Safety Supplies,Cedar Components,12,9601,9601,0,0,80.10,769040.10,1281.60,5.82,1650.60,43,35,15,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,19.33
45,SKU0059,Shipping Supplies 0059,Shipping Supplies,Harbor Safety,12,6452,6452,0,0,102.30,660039.60,1636.80,5.38,1198.51,29,25,21,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,19.31
46,SKU0248,Maintenance Parts 0248,Maintenance Parts,Cedar Components,12,9153,9153,0,0,81.60,746884.80,1305.60,5.00,1830.60,28,10,12,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,19.08
47,SKU0220,Material Handling 0220,Material Handling,Summit Packaging,12,9023,9023,0,0,98.00,884254.00,784.00,5.00,1804.60,40,30,14,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,18.72
48,SKU0224,Packaging 0224,Packaging,Harbor Safety,12,4404,4404,0,0,112.80,496771.20,2030.40,4.87,904.93,84,10,6,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,18.59
49,SKU0088,Maintenance Parts 0088,Maintenance Parts,Cedar Components,12,7520,7520,0,0,89.60,673792.00,1433.60,5.04,1490.75,28,10,8,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,18.51
50,SKU0090,Material Handling 0090,Material Handling,Summit Packaging,12,8953,8953,0,0,97.00,868441.00,776.00,5.37,1668.26,50,20,4,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,18.42
51,SKU0058,Maintenance Parts 0058,Maintenance Parts,Cedar Components,12,5686,5686,0,0,98.60,560639.60,1774.80,5.50,1033.82,98,20,14,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,18.36
52,SKU0023,Safety Supplies 0023,Safety Supplies,Cedar Components,12,7483,7483,0,0,89.10,666735.30,1425.60,5.18,1443.67,33,45,21,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,18.35
53,SKU0253,Safety Supplies 0253,Safety Supplies,Cedar Components,12,5383,5383,0,0,100.10,538838.30,1801.80,5.68,947.16,83,35,11,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,18.13
54,SKU0153,Safety Supplies 0153,Safety Supplies,Cedar Components,12,7182,7182,0,0,90.10,647098.20,1441.60,5.75,1249.04,23,15,13,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,18.11
55,SKU0255,Tools 0255,Tools,Summit Packaging,12,7209,7209,0,0,107.50,774967.50,967.50,5.38,1339.13,25,45,7,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,17.83
56,SKU0094,Packaging 0094,Packaging,Harbor Safety,12,4652,4652,0,0,111.80,520093.60,1788.80,5.54,839.04,94,40,14,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,17.75
57,SKU0159,Shipping Supplies 0159,Shipping Supplies,Harbor Safety,12,4560,4560,0,0,112.30,512088.00,1796.80,5.32,857.68,89,45,19,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,17.66
58,SKU0190,Material Handling 0190,Material Handling,Summit Packaging,12,7422,7422,0,0,107.00,794154.00,856.00,5.46,1360.45,30,40,20,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,17.58
59,SKU0289,Shipping Supplies 0289,Shipping Supplies,Harbor Safety,12,4395,4395,0,0,113.30,497953.50,1812.80,5.88,747.03,79,15,11,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,17.50
60,SKU0029,Shipping Supplies 0029,Shipping Supplies,Harbor Safety,12,4550,4550,0,0,111.30,506415.00,1780.80,5.68,800.59,99,35,9,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,17.48
61,SKU0286,Consumables 0286,Consumables,Atlas Industrial,12,10136,10136,0,0,102.20,1035899.20,0.00,5.37,1888.70,46,40,8,N,N,N,Y,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,17.27
62,SKU0060,Material Handling 0060,Material Handling,Summit Packaging,12,7308,7308,0,0,106.00,774648.00,848.00,5.04,1448.72,40,30,10,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,17.22
63,SKU0125,Tools 0125,Tools,Summit Packaging,12,7207,7207,0,0,106.50,767545.50,852.00,5.75,1253.39,35,35,15,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,17.12
64,SKU0123,Safety Supplies 0123,Safety Supplies,Cedar Components,12,5429,5429,0,0,99.10,538013.90,1585.60,5.12,1061.04,93,25,19,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,17.02
65,SKU0156,Consumables 0156,Consumables,Atlas Industrial,12,10077,10077,0,0,101.20,1019792.40,0.00,4.96,2033.48,56,30,16,N,N,N,Y,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,17.00
66,SKU0221,Industrial Supplies 0221,Industrial Supplies,Atlas Industrial,12,9987,9987,0,0,101.70,1015677.90,0.00,5.82,1716.96,51,35,21,N,N,N,Y,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,16.93
67,SKU0093,Safety Supplies 0093,Safety Supplies,Cedar Components,12,3842,3842,0,0,108.10,415320.20,1945.80,5.88,653.03,83,35,7,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,16.80
68,SKU0026,Consumables 0026,Consumables,Atlas Industrial,12,10026,10026,0,0,100.20,1004605.20,0.00,5.63,1779.76,66,20,6,N,N,N,Y,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,16.75
69,SKU0091,Industrial Supplies 0091,Industrial Supplies,Atlas Industrial,12,9868,9868,0,0,100.70,993707.60,0.00,5.25,1879.62,61,25,11,N,N,N,Y,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,16.57
70,SKU0028,Maintenance Parts 0028,Maintenance Parts,Cedar Components,12,3650,3650,0,0,107.60,392740.00,1936.80,4.87,750.00,88,30,20,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,16.38
71,SKU0290,Material Handling 0290,Material Handling,Summit Packaging,12,5565,5565,0,0,117.00,651105.00,1053.00,5.54,1003.71,90,20,18,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,16.20
72,SKU0157,Fasteners 0157,Fasteners,Blue Ridge Supply,12,6276,6276,0,0,104.90,658352.40,944.10,5.62,1117.39,67,35,5,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,15.77
73,SKU0223,Safety Supplies 0223,Safety Supplies,Cedar Components,12,3776,3776,0,0,109.10,411961.60,1745.60,5.21,725.38,73,45,17,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,15.73
74,SKU0095,Tools 0095,Tools,Summit Packaging,12,5410,5410,0,0,115.50,624855.00,1039.50,5.12,1057.33,25,45,21,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,15.69
75,SKU0222,Electrical Components 0222,Electrical Components,Blue Ridge Supply,12,6177,6177,0,0,105.40,651055.80,948.60,5.63,1096.51,62,40,10,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,15.67
76,SKU0256,Consumables 0256,Consumables,Atlas Industrial,12,8417,8417,0,0,111.20,935970.40,0.00,5.04,1668.57,36,10,14,N,N,N,Y,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,15.60
77,SKU0287,Fasteners 0287,Fasteners,Blue Ridge Supply,12,6388,6388,0,0,105.90,676489.20,847.20,5.25,1216.76,57,45,15,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,15.58
78,SKU0158,Maintenance Parts 0158,Maintenance Parts,Cedar Components,12,3636,3636,0,0,108.60,394869.60,1737.60,5.43,669.20,78,40,12,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,15.40
79,SKU0126,Consumables 0126,Consumables,Atlas Industrial,12,8385,8385,0,0,110.20,924027.00,0.00,5.57,1506.29,46,40,4,N,N,N,Y,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,15.40
80,SKU0160,Material Handling 0160,Material Handling,Summit Packaging,12,5484,5484,0,0,116.00,636144.00,928.00,5.13,1068.31,20,10,8,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,15.32
81,SKU0030,Material Handling 0030,Material Handling,Summit Packaging,12,5527,5527,0,0,115.00,635605.00,920.00,5.50,1004.91,30,40,16,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,15.27
82,SKU0092,Electrical Components 0092,Electrical Components,Blue Ridge Supply,12,6330,6330,0,0,104.40,660852.00,835.20,5.07,1249.34,72,30,18,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,15.26
83,SKU0288,Maintenance Parts 0288,Maintenance Parts,Cedar Components,12,3422,3422,0,0,109.60,375051.20,1753.60,5.07,675.39,68,10,4,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,15.15
84,SKU0027,Fasteners 0027,Fasteners,Blue Ridge Supply,12,6133,6133,0,0,103.90,637218.70,831.20,5.21,1178.16,77,25,13,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,14.84
85,SKU0191,Industrial Supplies 0191,Industrial Supplies,Atlas Industrial,12,8010,8010,0,0,110.70,886707.00,0.00,5.18,1545.34,41,45,9,N,N,N,Y,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,14.78
86,SKU0225,Tools 0225,Tools,Summit Packaging,12,5169,5169,0,0,116.50,602188.50,932.00,5.68,909.50,95,15,13,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,14.77
87,SKU0247,Fasteners 0247,Fasteners,Blue Ridge Supply,12,8537,8537,0,0,77.90,665032.30,701.10,5.18,1647.01,97,45,5,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,14.65
88,SKU0061,Industrial Supplies 0061,Industrial Supplies,Atlas Industrial,12,8005,8005,0,0,109.70,878148.50,0.00,5.71,1403.02,51,35,17,N,N,N,Y,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,14.64
89,SKU0052,Electrical Components 0052,Electrical Components,Blue Ridge Supply,12,8598,8598,0,0,76.40,656887.20,687.60,5.00,1719.60,32,30,8,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,14.44
90,SKU0182,Electrical Components 0182,Electrical Components,Blue Ridge Supply,12,8521,8521,0,0,77.40,659525.40,619.20,5.57,1530.72,22,40,18,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,14.14
91,SKU0117,Fasteners 0117,Fasteners,Blue Ridge Supply,12,8308,8308,0,0,76.90,638885.20,615.20,5.71,1456.12,27,35,13,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,13.77
92,SKU0212,Electrical Components 0212,Electrical Components,Blue Ridge Supply,12,9318,9318,0,0,68.40,637351.20,615.60,4.96,1880.31,32,30,12,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,13.75
93,SKU0087,Fasteners 0087,Fasteners,Blue Ridge Supply,12,6782,6782,0,0,85.90,582573.80,773.10,5.38,1259.81,97,45,19,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,13.64
94,SKU0217,Fasteners 0217,Fasteners,Blue Ridge Supply,12,6697,6697,0,0,86.90,581969.30,695.20,5.79,1155.76,87,15,11,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,13.23
95,SKU0161,Industrial Supplies 0161,Industrial Supplies,Atlas Industrial,12,6580,6580,0,0,119.70,787626.00,0.00,5.79,1135.57,31,15,15,N,N,N,Y,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,13.13
96,SKU0022,Electrical Components 0022,Electrical Components,Blue Ridge Supply,12,6468,6468,0,0,85.40,552367.20,768.60,5.46,1185.58,22,40,14,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,13.11
97,SKU0291,Industrial Supplies 0291,Industrial Supplies,Atlas Industrial,12,6485,6485,0,0,120.70,782739.50,0.00,5.12,1267.43,21,25,7,N,N,N,Y,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,13.05
98,SKU0082,Electrical Components 0082,Electrical Components,Blue Ridge Supply,12,9104,9104,0,0,67.40,613609.60,539.20,5.63,1616.09,42,20,20,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,12.97
99,SKU0147,Fasteners 0147,Fasteners,Blue Ridge Supply,12,8848,8848,0,0,67.90,600779.20,543.20,5.25,1685.33,37,25,7,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,12.77
100,SKU0031,Industrial Supplies 0031,Industrial Supplies,Atlas Industrial,12,6440,6440,0,0,118.70,764428.00,0.00,5.38,1196.28,41,45,5,N,N,N,Y,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,12.74
101,SKU0282,Electrical Components 0282,Electrical Components,Blue Ridge Supply,12,6266,6266,0,0,87.40,547648.40,699.20,5.50,1139.27,82,20,16,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,12.68
102,SKU0083,Safety Supplies 0083,Safety Supplies,Cedar Components,12,5182,5182,0,0,71.10,368440.20,1279.80,5.21,995.47,53,25,9,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,12.64
103,SKU0144,Packaging 0144,Packaging,Harbor Safety,12,7832,7832,0,0,56.80,444857.60,1022.40,5.04,1552.60,84,10,4,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,12.61
104,SKU0152,Electrical Components 0152,Electrical Components,Blue Ridge Supply,12,6312,6312,0,0,86.40,545356.80,691.20,4.93,1279.46,92,10,6,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,12.60
105,SKU0148,Maintenance Parts 0148,Maintenance Parts,Cedar Components,12,5009,5009,0,0,71.60,358644.40,1288.80,5.07,988.62,48,30,14,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,12.52
106,SKU0185,Tools 0185,Tools,Summit Packaging,12,5733,5733,0,0,88.50,507370.50,796.50,5.62,1020.71,55,15,21,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,12.50
107,SKU0179,Shipping Supplies 0179,Shipping Supplies,Harbor Safety,12,5781,5781,0,0,66.30,383280.30,1193.40,5.12,1129.84,69,25,15,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,12.45
108,SKU0017,Fasteners 0017,Fasteners,Blue Ridge Supply,12,8685,8685,0,0,66.90,581026.50,535.20,5.62,1546.29,47,15,15,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,12.40
109,SKU0274,Packaging 0274,Packaging,Harbor Safety,12,7998,7998,0,0,57.80,462284.40,924.80,5.46,1466.03,74,20,14,N,N,N,N,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,12.40
110,SKU0096,Consumables 0096,Consumables,Atlas Industrial,12,6218,6218,0,0,119.20,741185.60,0.00,4.93,1260.41,36,10,10,N,N,N,Y,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,12.36
111,SKU0226,Consumables 0226,Consumables,Atlas Industrial,12,6126,6126,0,0,120.20,736345.20,0.00,5.50,1113.82,26,20,20,N,N,N,Y,Routine,Routine: SKU-level quantity and supply policy triggers are not met,N,12.27
112,SKU0279,Shipping Supplies 0279,Shipping Supplies,Harbor Safety,12,4097,4095,2,2,76.30,312448.50,1373.40,5.21,786.66,49,45,13,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,12.18
113,SKU0114,Packaging 0114,Packaging,Harbor Safety,12,5614,5614,0,0,65.80,369401.20,1184.40,5.50,1020.73,74,20,10,N,N,N,Y,Watch,"Watch: total quantity or days-of-supply policy trigger, or material exposure",N,12.17
