priority_rank,sku,product_name,category,supplier,location,zone,system_qty,physical_qty,quantity_variance,absolute_quantity_variance,unit_cost,inventory_value,cumulative_adjustment_value,average_daily_demand,days_of_supply,reorder_point,safety_stock,lead_time_days,stockout_risk_flag,historical_stockout_observation_count,variance_event_count,materiality_flag,risk_tier,risk_reason,current_action_flag,priority_score,recommended_count_frequency
11,SKU0158,Maintenance Parts 0158,Maintenance Parts,Cedar Components,Z1-B01,Z1,19,19,0,10.0,108.60,2063.40,1086.00,11.33,1.68,78,40,12,Y,176,5,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,68.22,Weekly
12,SKU0224,Packaging 0224,Packaging,Harbor Safety,Z3-B03,Z3,17,17,0,10.0,112.80,1917.60,1128.00,11.33,1.50,84,10,6,Y,180,5,Y,Critical,Critical: days of supply <= 0.25 lead time,Y,68.10,Weekly
13,SKU0287,Fasteners 0287,Fasteners,Blue Ridge Supply,Z3-B04,Z3,0,0,0,10.0,105.90,0.00,1059.00,10.83,0.00,57,45,15,Y,180,5,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,68.09,Weekly
14,SKU0123,Safety Supplies 0123,Safety Supplies,Cedar Components,Z3-B03,Z3,201,201,0,10.0,99.10,19919.10,991.00,11.17,18.00,93,25,19,Y,158,5,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,68.01,Biweekly
15,SKU0060,Material Handling 0060,Material Handling,Summit Packaging,Z2-B01,Z2,77,77,0,10.0,106.00,8162.00,1060.00,11.36,6.78,40,30,10,Y,167,5,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,67.39,Biweekly
16,SKU0189,Shipping Supplies 0189,Shipping Supplies,Harbor Safety,Z2-B01,Z2,78,78,0,10.0,103.30,8057.40,1033.00,11.17,6.99,99,35,13,Y,180,5,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,67.27,Weekly
17,SKU0285,Tools 0285,Tools,Summit Packaging,Z1-B04,Z1,67,67,0,10.0,98.50,6599.50,985.00,11.08,6.05,35,35,19,Y,180,5,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,67.18,Biweekly
18,SKU0093,Safety Supplies 0093,Safety Supplies,Cedar Components,Z2-B02,Z2,24,24,0,10.0,108.10,2594.40,1081.00,11.25,2.13,83,35,7,Y,169,5,Y,Critical,Critical: physical quantity <= safety stock with materiality and current stockout-risk condition,Y,67.17,Weekly
19,SKU0226,Consumables 0226,Consumables,Atlas Industrial,Z3-B01,Z3,108,108,0,8.0,120.20,12981.60,961.60,11.39,9.48,26,20,20,Y,180,4,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,66.99,Biweekly
20,SKU0093,Safety Supplies 0093,Safety Supplies,Cedar Components,Z3-B03,Z3,6,8,-2,10.0,108.10,864.80,1081.00,11.25,0.71,83,35,7,Y,180,5,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,66.93,Weekly
21,SKU0097,Fasteners 0097,Fasteners,Blue Ridge Supply,Z2-B03,Z2,88,88,0,8.0,122.90,10815.20,983.20,11.36,7.75,47,15,17,Y,180,4,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,66.81,Biweekly
22,SKU0064,Packaging 0064,Packaging,Harbor Safety,Z3-B03,Z3,71,71,0,8.0,120.80,8576.80,966.40,11.47,6.19,84,10,20,Y,180,4,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,66.79,Weekly
23,SKU0255,Tools 0255,Tools,Summit Packaging,Z1-B04,Z1,0,0,0,10.0,107.50,0.00,1075.00,11.17,0.00,25,45,7,Y,180,5,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,66.78,Weekly
24,SKU0064,Packaging 0064,Packaging,Harbor Safety,Z2-B01,Z2,56,56,0,8.0,120.80,6764.80,966.40,11.47,4.88,84,10,20,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time,Y,66.70,Weekly
25,SKU0097,Fasteners 0097,Fasteners,Blue Ridge Supply,Z1-B02,Z1,0,0,0,8.0,122.90,0.00,983.20,11.36,0.00,47,15,17,Y,180,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,66.32,Weekly
26,SKU0187,Fasteners 0187,Fasteners,Blue Ridge Supply,Z2-B04,Z2,92,92,0,10.0,95.90,8822.80,959.00,10.81,8.51,77,25,17,Y,180,5,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,66.28,Biweekly
27,SKU0259,Shipping Supplies 0259,Shipping Supplies,Harbor Safety,Z3-B02,Z3,6,6,0,8.0,122.30,733.80,978.40,11.58,0.52,69,25,17,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,66.11,Weekly
28,SKU0257,Fasteners 0257,Fasteners,Blue Ridge Supply,Z2-B03,Z2,119,119,0,8.0,114.90,13673.10,919.20,11.22,10.60,47,15,21,Y,180,4,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,66.02,Biweekly
29,SKU0257,Fasteners 0257,Fasteners,Blue Ridge Supply,Z1-B02,Z1,86,86,0,8.0,114.90,9881.40,919.20,11.22,7.66,47,15,21,Y,180,4,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,65.91,Biweekly
30,SKU0286,Consumables 0286,Consumables,Atlas Industrial,Z2-B04,Z2,30,30,0,10.0,102.20,3066.00,1022.00,10.92,2.75,46,40,8,Y,161,5,Y,Critical,Critical: physical quantity <= safety stock with materiality and current stockout-risk condition,Y,65.81,Weekly
31,SKU0257,Fasteners 0257,Fasteners,Blue Ridge Supply,Z2-B04,Z2,47,47,0,8.0,114.90,5400.30,919.20,11.22,4.19,47,15,21,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time,Y,65.71,Weekly
32,SKU0128,Maintenance Parts 0128,Maintenance Parts,Cedar Components,Z2-B02,Z2,35,35,0,8.0,117.60,4116.00,940.80,11.42,3.07,68,10,18,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time,Y,65.54,Weekly
33,SKU0095,Tools 0095,Tools,Summit Packaging,Z3-B01,Z3,15,15,0,8.0,115.50,1732.50,924.00,11.61,1.29,25,45,21,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,65.52,Weekly
34,SKU0095,Tools 0095,Tools,Summit Packaging,Z1-B04,Z1,0,0,0,8.0,115.50,0.00,924.00,11.61,0.00,25,45,21,Y,180,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,65.41,Weekly
35,SKU0095,Tools 0095,Tools,Summit Packaging,Z3-B02,Z3,0,0,0,8.0,115.50,0.00,924.00,11.61,0.00,25,45,21,Y,180,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,65.39,Weekly
36,SKU0227,Fasteners 0227,Fasteners,Blue Ridge Supply,Z2-B03,Z2,91,91,0,8.0,123.90,11274.90,991.20,11.61,7.84,37,25,9,Y,174,4,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,65.35,Biweekly
37,SKU0290,Material Handling 0290,Material Handling,Summit Packaging,Z3-B01,Z3,26,26,0,8.0,117.00,3042.00,936.00,11.33,2.29,90,20,18,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time,Y,65.29,Weekly
38,SKU0194,Packaging 0194,Packaging,Harbor Safety,Z2-B01,Z2,62,62,0,8.0,121.80,7551.60,974.40,11.42,5.43,74,20,12,Y,180,4,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,65.26,Weekly
39,SKU0023,Safety Supplies 0023,Safety Supplies,Cedar Components,Z2-B03,Z2,137,137,0,10.0,89.10,12206.70,891.00,10.83,12.65,33,45,21,Y,180,5,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,65.25,Biweekly
40,SKU0161,Industrial Supplies 0161,Industrial Supplies,Atlas Industrial,Z2-B04,Z2,0,0,0,8.0,119.70,0.00,957.60,11.61,0.00,31,15,15,Y,180,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,65.21,Weekly
41,SKU0194,Packaging 0194,Packaging,Harbor Safety,Z3-B02,Z3,43,43,0,8.0,121.80,5237.40,974.40,11.42,3.77,74,20,12,Y,180,4,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,65.17,Weekly
42,SKU0290,Material Handling 0290,Material Handling,Summit Packaging,Z1-B04,Z1,0,0,0,8.0,117.00,0.00,936.00,11.33,0.00,90,20,18,Y,180,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,65.10,Weekly
43,SKU0032,Electrical Components 0032,Electrical Components,Blue Ridge Supply,Z3-B04,Z3,0,0,0,8.0,122.40,0.00,979.20,11.19,0.00,52,10,12,Y,180,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,65.09,Weekly
44,SKU0032,Electrical Components 0032,Electrical Components,Blue Ridge Supply,Z2-B03,Z2,0,0,0,8.0,122.40,0.00,979.20,11.19,0.00,52,10,12,Y,180,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,65.03,Weekly
45,SKU0194,Packaging 0194,Packaging,Harbor Safety,Z1-B01,Z1,1,1,0,8.0,121.80,121.80,974.40,11.42,0.09,74,20,12,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,64.85,Weekly
46,SKU0122,Electrical Components 0122,Electrical Components,Blue Ridge Supply,Z1-B02,Z1,33,33,0,10.0,95.40,3148.20,954.00,10.94,3.02,82,20,12,Y,180,5,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,64.71,Weekly
47,SKU0159,Shipping Supplies 0159,Shipping Supplies,Harbor Safety,Z1-B01,Z1,81,81,0,8.0,112.30,9096.30,898.40,11.25,7.20,89,45,19,Y,180,4,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,64.70,Weekly
48,SKU0096,Consumables 0096,Consumables,Atlas Industrial,Z1-B03,Z1,99,99,0,8.0,119.20,11800.80,953.60,11.75,8.43,36,10,10,Y,131,4,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,64.60,Biweekly
49,SKU0258,Maintenance Parts 0258,Maintenance Parts,Cedar Components,Z1-B02,Z1,111,111,0,8.0,118.60,13164.60,948.80,11.36,9.77,58,20,10,Y,165,4,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,64.57,Biweekly
50,SKU0192,Electrical Components 0192,Electrical Components,Blue Ridge Supply,Z3-B04,Z3,51,51,0,8.0,114.40,5834.40,915.20,11.36,4.49,52,10,16,Y,180,4,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,64.46,Weekly
51,SKU0030,Material Handling 0030,Material Handling,Summit Packaging,Z1-B04,Z1,36,36,0,8.0,115.00,4140.00,920.00,11.75,3.06,30,40,16,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,64.45,Weekly
52,SKU0159,Shipping Supplies 0159,Shipping Supplies,Harbor Safety,Z3-B02,Z3,20,20,0,8.0,112.30,2246.00,898.40,11.25,1.78,89,45,19,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,64.36,Weekly
53,SKU0188,Maintenance Parts 0188,Maintenance Parts,Cedar Components,Z1-B01,Z1,1,1,0,10.0,99.60,99.60,996.00,10.94,0.09,88,30,6,Y,170,5,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,64.29,Weekly
54,SKU0192,Electrical Components 0192,Electrical Components,Blue Ridge Supply,Z1-B02,Z1,14,14,0,8.0,114.40,1601.60,915.20,11.36,1.23,52,10,16,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time,Y,64.27,Weekly
55,SKU0030,Material Handling 0030,Material Handling,Summit Packaging,Z3-B01,Z3,0,0,0,8.0,115.00,0.00,920.00,11.75,0.00,30,40,16,Y,180,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,64.24,Weekly
56,SKU0063,Safety Supplies 0063,Safety Supplies,Cedar Components,Z3-B03,Z3,29,29,0,8.0,117.10,3395.90,936.80,11.64,2.49,73,45,13,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,64.17,Weekly
57,SKU0192,Electrical Components 0192,Electrical Components,Blue Ridge Supply,Z2-B03,Z2,0,0,0,8.0,114.40,0.00,915.20,11.36,0.00,52,10,16,Y,180,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,64.08,Weekly
58,SKU0063,Safety Supplies 0063,Safety Supplies,Cedar Components,Z1-B01,Z1,0,0,0,8.0,117.10,0.00,936.80,11.64,0.00,73,45,13,Y,180,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,64.00,Weekly
59,SKU0225,Tools 0225,Tools,Summit Packaging,Z3-B01,Z3,0,0,0,8.0,116.50,0.00,932.00,11.25,0.00,95,15,13,Y,180,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,63.94,Weekly
60,SKU0291,Industrial Supplies 0291,Industrial Supplies,Atlas Industrial,Z1-B03,Z1,43,43,0,8.0,120.70,5190.10,965.60,11.25,3.82,21,25,7,Y,138,4,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,63.93,Biweekly
61,SKU0061,Industrial Supplies 0061,Industrial Supplies,Atlas Industrial,Z2-B04,Z2,82,82,0,8.0,109.70,8995.40,877.60,11.58,7.08,51,35,17,Y,180,4,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,63.88,Biweekly
62,SKU0258,Maintenance Parts 0258,Maintenance Parts,Cedar Components,Z3-B04,Z3,6,6,0,8.0,118.60,711.60,948.80,11.36,0.53,58,20,10,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,63.84,Weekly
63,SKU0162,Electrical Components 0162,Electrical Components,Blue Ridge Supply,Z1-B02,Z1,27,27,0,8.0,123.40,3331.80,987.20,11.75,2.30,42,20,4,Y,154,4,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,63.83,Weekly
64,SKU0028,Maintenance Parts 0028,Maintenance Parts,Cedar Components,Z3-B03,Z3,83,83,0,8.0,107.60,8930.80,860.80,11.39,7.29,88,30,20,Y,180,4,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,63.83,Weekly
65,SKU0258,Maintenance Parts 0258,Maintenance Parts,Cedar Components,Z3-B03,Z3,13,13,0,8.0,118.60,1541.80,948.80,11.36,1.14,58,20,10,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,63.76,Weekly
66,SKU0291,Industrial Supplies 0291,Industrial Supplies,Atlas Industrial,Z2-B04,Z2,0,0,0,8.0,120.70,0.00,965.60,11.25,0.00,21,25,7,Y,180,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,63.72,Weekly
67,SKU0129,Shipping Supplies 0129,Shipping Supplies,Harbor Safety,Z3-B02,Z3,0,0,0,8.0,121.30,0.00,970.40,11.64,0.00,79,15,7,Y,180,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,63.70,Weekly
68,SKU0162,Electrical Components 0162,Electrical Components,Blue Ridge Supply,Z3-B04,Z3,0,0,0,8.0,123.40,0.00,987.20,11.75,0.00,42,20,4,Y,157,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,63.60,Weekly
69,SKU0028,Maintenance Parts 0028,Maintenance Parts,Cedar Components,Z1-B01,Z1,31,31,0,8.0,107.60,3335.60,860.80,11.39,2.72,88,30,20,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time,Y,63.53,Weekly
70,SKU0024,Packaging 0024,Packaging,Harbor Safety,Z3-B03,Z3,63,63,0,10.0,92.80,5846.40,928.00,10.97,5.74,44,10,10,Y,175,5,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,63.52,Biweekly
71,SKU0127,Fasteners 0127,Fasteners,Blue Ridge Supply,Z1-B02,Z1,83,83,0,8.0,113.90,9453.70,911.20,11.58,7.17,57,45,11,Y,171,4,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,63.52,Biweekly
72,SKU0127,Fasteners 0127,Fasteners,Blue Ridge Supply,Z1-B03,Z1,73,73,0,8.0,113.90,8314.70,911.20,11.58,6.30,57,45,11,Y,178,4,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,63.42,Biweekly
73,SKU0190,Material Handling 0190,Material Handling,Summit Packaging,Z1-B04,Z1,25,25,0,8.0,107.00,2675.00,856.00,11.00,2.27,30,40,20,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,63.42,Weekly
74,SKU0087,Fasteners 0087,Fasteners,Blue Ridge Supply,Z3-B04,Z3,11,11,0,10.0,85.90,944.90,859.00,11.08,0.99,97,45,19,Y,180,5,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,63.35,Weekly
75,SKU0061,Industrial Supplies 0061,Industrial Supplies,Atlas Industrial,Z1-B03,Z1,3,3,0,8.0,109.70,329.10,877.60,11.58,0.26,51,35,17,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,63.31,Weekly
76,SKU0120,Material Handling 0120,Material Handling,Summit Packaging,Z3-B02,Z3,22,22,0,10.0,88.00,1936.00,880.00,11.19,1.97,60,10,16,Y,180,5,Y,Critical,Critical: days of supply <= 0.25 lead time,Y,63.29,Weekly
77,SKU0256,Consumables 0256,Consumables,Atlas Industrial,Z1-B03,Z1,47,47,0,8.0,111.20,5226.40,889.60,11.00,4.27,36,10,14,Y,180,4,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,63.28,Biweekly
78,SKU0094,Packaging 0094,Packaging,Harbor Safety,Z2-B01,Z2,33,33,0,8.0,111.80,3689.40,894.40,11.39,2.90,94,40,14,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,63.21,Weekly
79,SKU0249,Shipping Supplies 0249,Shipping Supplies,Harbor Safety,Z3-B02,Z3,28,28,0,10.0,85.30,2388.40,853.00,11.61,2.41,39,15,19,Y,180,5,Y,Critical,Critical: days of supply <= 0.25 lead time,Y,63.20,Weekly
80,SKU0219,Shipping Supplies 0219,Shipping Supplies,Harbor Safety,Z3-B02,Z3,14,14,0,10.0,94.30,1320.20,943.00,11.08,1.26,29,25,7,Y,165,5,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,63.11,Weekly
81,SKU0223,Safety Supplies 0223,Safety Supplies,Cedar Components,Z1-B01,Z1,0,0,0,8.0,109.10,0.00,872.80,11.19,0.00,73,45,17,Y,180,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,63.05,Weekly
82,SKU0223,Safety Supplies 0223,Safety Supplies,Cedar Components,Z3-B03,Z3,2,2,0,8.0,109.10,218.20,872.80,11.19,0.18,73,45,17,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,63.04,Weekly
83,SKU0160,Material Handling 0160,Material Handling,Summit Packaging,Z1-B04,Z1,39,39,0,8.0,116.00,4524.00,928.00,11.39,3.42,20,10,8,Y,180,4,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,62.98,Biweekly
84,SKU0193,Safety Supplies 0193,Safety Supplies,Cedar Components,Z2-B03,Z2,63,61,2,8.0,118.10,7204.10,944.80,11.58,5.27,63,15,5,Y,155,4,Y,Watch,Watch: physical quantity <= reorder point or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,62.95,Biweekly
85,SKU0127,Fasteners 0127,Fasteners,Blue Ridge Supply,Z3-B04,Z3,0,0,0,8.0,113.90,0.00,911.20,11.58,0.00,57,45,11,Y,180,4,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,62.95,Weekly
86,SKU0031,Industrial Supplies 0031,Industrial Supplies,Atlas Industrial,Z2-B04,Z2,13,13,0,8.0,118.70,1543.10,949.60,11.36,1.14,41,45,5,Y,159,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,62.93,Weekly
87,SKU0031,Industrial Supplies 0031,Industrial Supplies,Atlas Industrial,Z1-B03,Z1,22,22,0,8.0,118.70,2611.40,949.60,11.36,1.94,41,45,5,Y,164,4,Y,Critical,Critical: physical quantity <= safety stock with materiality and current stockout-risk condition,Y,62.90,Weekly
88,SKU0059,Shipping Supplies 0059,Shipping Supplies,Harbor Safety,Z2-B02,Z2,71,71,0,8.0,102.30,7263.30,818.40,11.22,6.33,29,25,21,Y,180,4,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,62.90,Biweekly
89,SKU0289,Shipping Supplies 0289,Shipping Supplies,Harbor Safety,Z3-B02,Z3,22,22,0,8.0,113.30,2492.60,906.40,11.19,1.97,79,15,11,Y,180,4,Y,Critical,Critical: days of supply <= 0.25 lead time,Y,62.89,Weekly
90,SKU0160,Material Handling 0160,Material Handling,Summit Packaging,Z3-B02,Z3,25,25,0,8.0,116.00,2900.00,928.00,11.39,2.20,20,10,8,Y,168,4,Y,Watch,Watch: days of supply <= lead time or materiality flag=Y and recurring variance (at least two non-zero variance snapshots),N,62.88,Biweekly
91,SKU0031,Industrial Supplies 0031,Industrial Supplies,Atlas Industrial,Z3-B01,Z3,10,10,0,8.0,118.70,1187.00,949.60,11.36,0.88,41,45,5,Y,149,4,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,62.79,Weekly
