sku,product_name,category,supplier,location,zone,physical_qty,average_daily_demand,days_of_supply,reorder_point,safety_stock,lead_time_days,materiality_flag,risk_tier,risk_reason,current_action_flag,stockout_risk_reason,recommended_action
SKU0004,Packaging 0004,Packaging,Harbor Safety,Z1-B02,Z1,24,11.33,2.12,64,30,14,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0004,Packaging 0004,Packaging,Harbor Safety,Z1-B03,Z1,15,11.33,1.32,64,30,14,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0004,Packaging 0004,Packaging,Harbor Safety,Z2-B03,Z2,24,11.33,2.12,64,30,14,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0004,Packaging 0004,Packaging,Harbor Safety,Z2-B04,Z2,14,11.33,1.24,64,30,14,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0004,Packaging 0004,Packaging,Harbor Safety,Z3-B01,Z3,0,11.33,0.00,64,30,14,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0004,Packaging 0004,Packaging,Harbor Safety,Z3-B02,Z3,0,11.33,0.00,64,30,14,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0004,Packaging 0004,Packaging,Harbor Safety,Z3-B03,Z3,0,11.33,0.00,64,30,14,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0005,Tools 0005,Tools,Summit Packaging,Z1-B03,Z1,20,11.25,1.78,75,35,21,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0005,Tools 0005,Tools,Summit Packaging,Z1-B04,Z1,2,11.25,0.18,75,35,21,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0005,Tools 0005,Tools,Summit Packaging,Z2-B01,Z2,0,11.25,0.00,75,35,21,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0005,Tools 0005,Tools,Summit Packaging,Z2-B02,Z2,0,11.25,0.00,75,35,21,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0006,Consumables 0006,Consumables,Atlas Industrial,Z1-B01,Z1,0,11.39,0.00,86,40,10,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0006,Consumables 0006,Consumables,Atlas Industrial,Z2-B02,Z2,17,11.39,1.49,86,40,10,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0007,Fasteners 0007,Fasteners,Blue Ridge Supply,Z1-B01,Z1,0,11.61,0.00,97,45,17,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0007,Fasteners 0007,Fasteners,Blue Ridge Supply,Z1-B02,Z1,0,11.61,0.00,97,45,17,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0007,Fasteners 0007,Fasteners,Blue Ridge Supply,Z1-B03,Z1,0,11.61,0.00,97,45,17,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0007,Fasteners 0007,Fasteners,Blue Ridge Supply,Z3-B01,Z3,41,11.61,3.53,97,45,17,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0007,Fasteners 0007,Fasteners,Blue Ridge Supply,Z3-B02,Z3,30,11.61,2.58,97,45,17,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0007,Fasteners 0007,Fasteners,Blue Ridge Supply,Z3-B03,Z3,7,11.61,0.60,97,45,17,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0007,Fasteners 0007,Fasteners,Blue Ridge Supply,Z3-B04,Z3,0,11.61,0.00,97,45,17,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0009,Shipping Supplies 0009,Shipping Supplies,Harbor Safety,Z2-B03,Z2,0,11.36,0.00,39,15,13,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0009,Shipping Supplies 0009,Shipping Supplies,Harbor Safety,Z2-B04,Z2,0,11.36,0.00,39,15,13,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0009,Shipping Supplies 0009,Shipping Supplies,Harbor Safety,Z3-B01,Z3,0,11.36,0.00,39,15,13,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0009,Shipping Supplies 0009,Shipping Supplies,Harbor Safety,Z3-B02,Z3,0,11.36,0.00,39,15,13,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0010,Material Handling 0010,Material Handling,Summit Packaging,Z1-B01,Z1,7,11.19,0.63,50,20,20,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0010,Material Handling 0010,Material Handling,Summit Packaging,Z1-B02,Z1,0,11.19,0.00,50,20,20,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0010,Material Handling 0010,Material Handling,Summit Packaging,Z1-B03,Z1,0,11.19,0.00,50,20,20,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0010,Material Handling 0010,Material Handling,Summit Packaging,Z1-B04,Z1,2,11.19,0.18,50,20,20,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0010,Material Handling 0010,Material Handling,Summit Packaging,Z2-B01,Z2,0,11.19,0.00,50,20,20,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0010,Material Handling 0010,Material Handling,Summit Packaging,Z2-B03,Z2,30,11.19,2.68,50,20,20,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0010,Material Handling 0010,Material Handling,Summit Packaging,Z2-B04,Z2,0,11.19,0.00,50,20,20,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0010,Material Handling 0010,Material Handling,Summit Packaging,Z3-B01,Z3,0,11.19,0.00,50,20,20,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0010,Material Handling 0010,Material Handling,Summit Packaging,Z3-B02,Z3,0,11.19,0.00,50,20,20,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0010,Material Handling 0010,Material Handling,Summit Packaging,Z3-B03,Z3,0,11.19,0.00,50,20,20,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0010,Material Handling 0010,Material Handling,Summit Packaging,Z3-B04,Z3,47,11.19,4.20,50,20,20,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0011,Industrial Supplies 0011,Industrial Supplies,Atlas Industrial,Z1-B03,Z1,4,10.81,0.37,61,25,9,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0011,Industrial Supplies 0011,Industrial Supplies,Atlas Industrial,Z1-B04,Z1,0,10.81,0.00,61,25,9,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0011,Industrial Supplies 0011,Industrial Supplies,Atlas Industrial,Z2-B01,Z2,0,10.81,0.00,61,25,9,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0011,Industrial Supplies 0011,Industrial Supplies,Atlas Industrial,Z2-B02,Z2,0,10.81,0.00,61,25,9,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0011,Industrial Supplies 0011,Industrial Supplies,Atlas Industrial,Z2-B03,Z2,0,10.81,0.00,61,25,9,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0011,Industrial Supplies 0011,Industrial Supplies,Atlas Industrial,Z2-B04,Z2,0,10.81,0.00,61,25,9,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0012,Electrical Components 0012,Electrical Components,Blue Ridge Supply,Z1-B01,Z1,0,10.94,0.00,72,30,16,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0012,Electrical Components 0012,Electrical Components,Blue Ridge Supply,Z1-B02,Z1,0,10.94,0.00,72,30,16,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0012,Electrical Components 0012,Electrical Components,Blue Ridge Supply,Z1-B03,Z1,0,10.94,0.00,72,30,16,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0012,Electrical Components 0012,Electrical Components,Blue Ridge Supply,Z3-B02,Z3,25,10.94,2.28,72,30,16,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0012,Electrical Components 0012,Electrical Components,Blue Ridge Supply,Z3-B03,Z3,16,10.94,1.46,72,30,16,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0013,Safety Supplies 0013,Safety Supplies,Cedar Components,Z1-B02,Z1,0,11.17,0.00,83,35,5,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0014,Packaging 0014,Packaging,Harbor Safety,Z2-B01,Z2,45,11.00,4.09,94,40,12,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0014,Packaging 0014,Packaging,Harbor Safety,Z2-B02,Z2,37,11.00,3.36,94,40,12,Y,Critical,Critical: physical quantity <= safety stock with materiality and current stockout-risk condition,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0014,Packaging 0014,Packaging,Harbor Safety,Z2-B03,Z2,22,11.00,2.00,94,40,12,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0014,Packaging 0014,Packaging,Harbor Safety,Z2-B04,Z2,7,11.00,0.64,94,40,12,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0014,Packaging 0014,Packaging,Harbor Safety,Z3-B01,Z3,1,11.00,0.09,94,40,12,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0015,Tools 0015,Tools,Summit Packaging,Z1-B01,Z1,50,11.22,4.46,25,45,19,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0015,Tools 0015,Tools,Summit Packaging,Z1-B02,Z1,41,11.22,3.65,25,45,19,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0015,Tools 0015,Tools,Summit Packaging,Z1-B03,Z1,28,11.22,2.50,25,45,19,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0015,Tools 0015,Tools,Summit Packaging,Z1-B04,Z1,15,11.22,1.34,25,45,19,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0015,Tools 0015,Tools,Summit Packaging,Z3-B01,Z3,14,11.22,1.25,25,45,19,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0015,Tools 0015,Tools,Summit Packaging,Z3-B02,Z3,0,11.22,0.00,25,45,19,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0015,Tools 0015,Tools,Summit Packaging,Z3-B03,Z3,0,11.22,0.00,25,45,19,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0015,Tools 0015,Tools,Summit Packaging,Z3-B04,Z3,0,11.22,0.00,25,45,19,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0016,Consumables 0016,Consumables,Atlas Industrial,Z1-B04,Z1,25,11.36,2.20,36,10,8,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0016,Consumables 0016,Consumables,Atlas Industrial,Z2-B01,Z2,3,11.36,0.26,36,10,8,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0016,Consumables 0016,Consumables,Atlas Industrial,Z2-B02,Z2,9,11.36,0.79,36,10,8,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0016,Consumables 0016,Consumables,Atlas Industrial,Z2-B03,Z2,0,11.36,0.00,36,10,8,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0017,Fasteners 0017,Fasteners,Blue Ridge Supply,Z1-B01,Z1,3,11.58,0.26,47,15,15,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0017,Fasteners 0017,Fasteners,Blue Ridge Supply,Z1-B02,Z1,2,11.58,0.17,47,15,15,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0017,Fasteners 0017,Fasteners,Blue Ridge Supply,Z2-B03,Z2,46,11.58,3.97,47,15,15,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0018,Maintenance Parts 0018,Maintenance Parts,Cedar Components,Z1-B02,Z1,37,11.42,3.24,58,20,4,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0018,Maintenance Parts 0018,Maintenance Parts,Cedar Components,Z1-B03,Z1,0,11.42,0.00,58,20,4,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0018,Maintenance Parts 0018,Maintenance Parts,Cedar Components,Z1-B04,Z1,0,11.42,0.00,58,20,4,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0019,Shipping Supplies 0019,Shipping Supplies,Harbor Safety,Z2-B03,Z2,0,11.64,0.00,69,25,11,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0019,Shipping Supplies 0019,Shipping Supplies,Harbor Safety,Z2-B04,Z2,0,11.64,0.00,69,25,11,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0019,Shipping Supplies 0019,Shipping Supplies,Harbor Safety,Z3-B02,Z3,50,11.64,4.30,69,25,11,Y,High,High: physical quantity <= reorder point and days of supply <= lead time; materiality flag=Y,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0019,Shipping Supplies 0019,Shipping Supplies,Harbor Safety,Z3-B03,Z3,2,11.64,0.17,69,25,11,Y,Critical,Critical: days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0019,Shipping Supplies 0019,Shipping Supplies,Harbor Safety,Z3-B04,Z3,0,11.64,0.00,69,25,11,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0020,Material Handling 0020,Material Handling,Summit Packaging,Z1-B01,Z1,21,11.47,1.83,80,30,18,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0020,Material Handling 0020,Material Handling,Summit Packaging,Z1-B02,Z1,14,11.47,1.22,80,30,18,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0020,Material Handling 0020,Material Handling,Summit Packaging,Z1-B03,Z1,7,11.47,0.61,80,30,18,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0020,Material Handling 0020,Material Handling,Summit Packaging,Z2-B01,Z2,35,11.47,3.05,80,30,18,Y,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0020,Material Handling 0020,Material Handling,Summit Packaging,Z2-B02,Z2,11,11.47,0.96,80,30,18,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0020,Material Handling 0020,Material Handling,Summit Packaging,Z2-B03,Z2,11,11.47,0.96,80,30,18,N,Critical,Critical: days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0020,Material Handling 0020,Material Handling,Summit Packaging,Z2-B04,Z2,0,11.47,0.00,80,30,18,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0020,Material Handling 0020,Material Handling,Summit Packaging,Z3-B01,Z3,0,11.47,0.00,80,30,18,Y,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time and physical quantity <= safety stock with materiality and current stockout-risk condition,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0020,Material Handling 0020,Material Handling,Summit Packaging,Z3-B02,Z3,0,11.47,0.00,80,30,18,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
SKU0020,Material Handling 0020,Material Handling,Summit Packaging,Z3-B03,Z3,0,11.47,0.00,80,30,18,N,Critical,Critical: physical quantity = 0 and days of supply <= 0.25 lead time,Y,Current trigger: physical quantity <= reorder point or days of supply <= lead time,Prioritize count and replenish
